parcel_id,slr_m,depth_m
1,0,1.5540797710418701
1,0.25,1.8325154781341553
1,0.5,2.0940797328948975
1,0.75,2.3450756072998047
1,1,2.5950756072998047
1,1.5,3.2250757217407227
1,2,3.893394708633423
1,2.5,4.433200836181641
1,3,4.984102249145508
2,0,0
2,0.25,0
2,0.5,0.26126575469970703
2,0.75,0.5168731808662415
2,1,0.7668731808662415
2,1.5,1.4036903381347656
2,2,2.026638984680176
2,2.5,2.6068732738494873
2,3,3.171786069869995
3,0,0
3,0.25,0
3,0.5,0
3,0.75,0.2184123992919922
3,1,0.4684123992919922
3,1.5,1.1286276578903198
3,2,1.7205170392990112
3,2.5,2.3029751777648926
3,3,2.9010860919952393
4,0,0
4,0.25,0
4,0.5,0
4,0.75,0.16699743270874023
4,1,0.41704046726226807
4,1.5,1.0935553312301636
4,2,1.6686650514602661
4,2.5,2.2567813396453857
4,3,2.866905689239502
5,0,0
5,0.25,0.18283048272132874
5,0.5,0.4060019254684448
5,0.75,0.6649510264396667
5,1,0.906491756439209
5,1.5,1.5698914527893066
5,2,2.1131837368011475
5,2.5,2.742830514907837
5,3,3.346491575241089
6,0,0
6,0.25,0.2556614577770233
6,0.5,0.46788501739501953
6,0.75,0.7356614470481873
6,1,0.9741002321243286
6,1.5,1.624137043952942
6,2,2.154137134552002
6,2.5,2.8156614303588867
6,3,3.4056615829467773
7,0,0
7,0.25,0.2112073004245758
7,0.5,0.41672608256340027
7,0.75,0.681862473487854
7,1,0.9189709424972534
7,1.5,1.5718624591827393
7,2,2.1050965785980225
7,2.5,2.766247034072876
7,3,3.361177921295166
8,0,0.07640909403562546
8,0.25,0.33579787611961365
8,0.5,0.5468370318412781
8,0.75,0.8209025859832764
8,1,1.0648585557937622
8,1.5,1.730686902999878
8,2,2.3150336742401123
8,2.5,2.8868370056152344
8,3,3.4350478649139404
9,0,0
9,0.25,0
9,0.5,0.1371559202671051
9,0.75,0.3929947316646576
9,1,0.637148380279541
9,1.5,1.29154634475708
9,2,1.8887710571289062
9,2.5,2.4487709999084473
9,3,3.007176399230957
10,0,0
10,0.25,0
10,0.5,0.15941011905670166
10,0.75,0.41088011860847473
