"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","full_address","rentalval","elevation","rent","longitude","latitude","landval_acre","landshare","landval","strval","parcel_id.x","parcel_id.y","retreat_year_Intermediate","retreat_year_Intermediate_High","retreat_year_High","X","Y"
"PAST SALE","February-9-2024","Condo/Co-op","4700 Sandyland Rd #8","Carpinteria","CA","93013",864688,1,1,"CARPINTERIA-SUMMERLAND",558,435,1970,NA,1774,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-8/home/21614018","SBMLS","24-136","N","Y","4700 Sandyland Rd #8, Carpinteria, CA",1454,3.73,17448,-119.5270762,34.3957702,3180800,0.512,442720.256,421967.744,14,14,94,51,31,-119.5270762,34.3957702
"PAST SALE","December-15-2020","Condo/Co-op","4825 Sandyland Rd #6","Carpinteria","CA","93013",1923774,2,2,"CARPINTERIA-SUMMERLAND",966,871,1978,NA,1548,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4825-Sandyland-Rd-93013/unit-6/home/21612906","SBMLS","20-4020","N","Y","4825 Sandyland Rd #6, Carpinteria, CA",2120,3.74,25440,-119.5266713,34.3947731,3180800,0.512,984972.288,938801.712,15,15,13,1,1,-119.5266713,34.3947731
"PAST SALE","September-27-2022","Condo/Co-op","4840 Sandyland Rd","Carpinteria","CA","93013",1841265,3,2.5,"CARPINTERIA-SUMMERLAND",1275,435,1978,NA,1294,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4840-Sandyland-Rd-93013/home/21613793","SBMLS","22-3096","N","Y","4840 Sandyland Rd, Carpinteria, CA",2762,3.87,33144,-119.5262932,34.3945442,3180800,0.512,942727.68,898537.32,16,16,66,34,17,-119.5262932,34.3945442
"PAST SALE","December-20-2024","Condo/Co-op","4700 Sandyland Rd #12","Carpinteria","CA","93013",995647,2,1,"CARPINTERIA-SUMMERLAND",700,871,1970,NA,1586,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-12/home/21614014","SBMLS","24-3860","N","Y","4700 Sandyland Rd #12, Carpinteria, CA",1518,3.73,18216,-119.5270762,34.3957702,3180800,0.512,509771.264,485875.736,17,17,81,43,25,-119.5270762,34.3957702
"PAST SALE","September-1-2022","Condo/Co-op","4950 Sandyland Rd #224","Carpinteria","CA","93013",804441,1,1,"Sandyland Cove",540,NA,1962,NA,1574,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-224/home/21613801","SBMLS","22-2875","N","Y","4950 Sandyland Rd #224, Carpinteria, CA",1456,4.43,17472,-119.525032,34.394428,3180800,0.512,411873.792,392567.208,18,18,101,79,53,-119.525032,34.394428
"PAST SALE","April-7-2021","Condo/Co-op","4709 Sandyland Rd #4","Carpinteria","CA","93013",1695766,1,1,"CARPINTERIA-SUMMERLAND",612,NA,1959,NA,2696,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4709-Sandyland-Rd-93013/unit-4/home/21614162","SBMLS","21-1021","N","Y","4709 Sandyland Rd #4, Carpinteria, CA",1498,2.74,17976,-119.5285097,34.395329,3180800,0.512,868232.192,827533.808,19,19,1,1,1,-119.5285097,34.395329
"PAST SALE","July-15-2024","Condo/Co-op","4950 Sandyland Rd #129","Carpinteria","CA","93013",719964,1,1,"CARPINTERIA-SUMMERLAND",436,NA,1962,NA,1837,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-129/home/21613837","SBMLS","24-1456","N","Y","4950 Sandyland Rd #129, Carpinteria, CA",1452,4.43,17424,-119.525032,34.394428,3180800,0.512,368621.568,351342.432,20,20,101,87,60,-119.525032,34.394428
"PAST SALE","June-2-2022","Condo/Co-op","4902 Sandyland Rd #136","Carpinteria","CA","93013",745986,1,1,"CPTA - Carpinteria",442,434,1968,NA,1862,438,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4902-Sandyland-Rd-93013/unit-136/home/21613846","CRMLS","BB22092020","N","Y","4902 Sandyland Rd #136, Carpinteria, CA",1450,4.41,17400,-119.5251608,34.3945566,3180800,0.512,381944.832,364041.168,21,21,101,83,57,-119.5251608,34.3945566
"PAST SALE","June-22-2021","Condo/Co-op","4950 Sandyland Rd #220","Carpinteria","CA","93013",975494,2,1,"CARPINTERIA-SUMMERLAND",744,NA,1962,NA,1142,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-220/home/21613797","SBMLS","21-1284","N","Y","4950 Sandyland Rd #220, Carpinteria, CA",1659,4.43,19908,-119.525032,34.394428,3180800,0.512,499452.928,476041.072,22,22,101,74,49,-119.525032,34.394428
"PAST SALE","February-22-2023","Single Family Residential","4923 Sandyland Rd","Carpinteria","CA","93013",8100000,4,3.5,"Sandyland Cove",2361,2613,1957,NA,3431,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4923-Sandyland-Rd-93013/home/21613403","SBMLS","23-198","N","Y","4923 Sandyland Rd, Carpinteria, CA",4045,4.01,48540,-119.5256681,34.3943645,3180800,0.512,4147200,3952800,23,23,1,1,1,-119.5256681,34.3943645
