SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,rentalval,rentalval_note
PAST SALE,December-20-2024,Condo/Co-op,4700 Sandyland Rd #12,Carpinteria,CA,93013,1079031,2,1,CARPINTERIA-SUMMERLAND,700,871,1970,NA,1586,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-12/home/21614014,SBMLS,24-3860,N,Y,34.395656,-119.527397,"4700 Sandyland Rd #12, Carpinteria, CA",NA,not_found
PAST SALE,September-1-2022,Condo/Co-op,4950 Sandyland Rd #224,Carpinteria,CA,93013,872951,1,1,Sandyland Cove,540,NA,1962,NA,1574,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-224/home/21613801,SBMLS,22-2875,N,Y,34.394428,-119.525032,"4950 Sandyland Rd #224, Carpinteria, CA",NA,not_found
PAST SALE,April-7-2021,Condo/Co-op,4709 Sandyland Rd #4,Carpinteria,CA,93013,1899169,1,1,CARPINTERIA-SUMMERLAND,612,NA,1959,NA,2696,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4709-Sandyland-Rd-93013/unit-4/home/21614162,SBMLS,21-1021,N,Y,34.395329,-119.5285097,"4709 Sandyland Rd #4, Carpinteria, CA",NA,not_found
PAST SALE,July-15-2024,Condo/Co-op,4950 Sandyland Rd #129,Carpinteria,CA,93013,785886,1,1,CARPINTERIA-SUMMERLAND,436,NA,1962,NA,1837,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-129/home/21613837,SBMLS,24-1456,N,Y,34.394428,-119.525032,"4950 Sandyland Rd #129, Carpinteria, CA",NA,not_found
PAST SALE,June-2-2022,Condo/Co-op,4902 Sandyland Rd #136,Carpinteria,CA,93013,791547,1,1,CPTA - Carpinteria,442,434,1968,NA,1862,438,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4902-Sandyland-Rd-93013/unit-136/home/21613846,CRMLS,BB22092020,N,Y,34.3945566,-119.5251608,"4902 Sandyland Rd #136, Carpinteria, CA",NA,not_found
PAST SALE,June-22-2021,Condo/Co-op,4950 Sandyland Rd #220,Carpinteria,CA,93013,1067363,2,1,CARPINTERIA-SUMMERLAND,744,NA,1962,NA,1142,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-220/home/21613797,SBMLS,21-1284,N,Y,34.394428,-119.525032,"4950 Sandyland Rd #220, Carpinteria, CA",NA,not_found
PAST SALE,February-22-2023,Single Family Residential,4923 Sandyland Rd,Carpinteria,CA,93013,8100000,4,3.5,Sandyland Cove,2361,2613,1957,NA,3431,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4923-Sandyland-Rd-93013/home/21613403,SBMLS,23-198,N,Y,34.3942179,-119.525802,"4923 Sandyland Rd, Carpinteria, CA",NA,not_found
PAST SALE,November-24-2021,Condo/Co-op,4950 Sandyland Rd #229,Carpinteria,CA,93013,759610,1,1,Sandyland Cove,436,NA,1962,NA,1720,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-229/home/21613806,SBMLS,21-4000,N,Y,34.394428,-119.525032,"4950 Sandyland Rd #229, Carpinteria, CA",NA,not_found
PAST SALE,January-18-2024,Condo/Co-op,4700 Sandyland Rd #16,Carpinteria,CA,93013,734421,1,1,CPTA - Carpinteria,558,510,1970,NA,1254,825,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-16/home/21614011,CRMLS,SR23223244,N,Y,34.395661,-119.527155,"4700 Sandyland Rd #16, Carpinteria, CA",NA,not_found
PAST SALE,June-5-2024,Condo/Co-op,4700 Sandyland Rd #35,Carpinteria,CA,93013,1015960,2,2,CARPINTERIA-SUMMERLAND,828,435,1970,NA,1164,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-35/home/21613995,SBMLS,24-1241,N,Y,34.395816,-119.527522,"4700 Sandyland Rd #35, Carpinteria, CA",NA,not_found
PAST SALE,January-13-2023,Single Family Residential,4595 Avenue Del Mar,Carpinteria,CA,93013,12500000,5,3.5,CARPINTERIA-SUMMERLAND,2762,11325,1981,NA,4526,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4595-Del-Mar-Ave-93013/home/21614271,SBMLS,22-3572,N,Y,34.395382,-119.529523,"4595 Avenue Del Mar, Carpinteria, CA",NA,not_found
PAST SALE,NA,Condo/Co-op,4950 Sandyland Rd #223,Carpinteria,CA,93013,797223,1,1,NA,574,NA,1962,NA,836,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-223/home/21613800,NA,NA,N,Y,34.394428,-119.525032,"4950 Sandyland Rd #223, Carpinteria, CA",NA,not_found
