SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,annual_rental_income,monthly_rental_income,rentalval,rentalval_note,elevation,distance_to_coast_meters,distance_to_coast_km,median_ageE,whiteE,blackE,asianE,hispanicE,median_incomeE,educationE,unemploymentE,hazard_type,property_id
PAST SALE,NA,Condo/Co-op,4950 Sandyland Rd #226,Carpinteria,CA,93013,726261,1,1,NA,514,NA,1964,NA,1167,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-226/home/21613803,NA,NA,N,Y,34.394428,-119.525032,"4950 Sandyland Rd #226, Carpinteria, CA",36313.05,3026.0875,3026.0875,baseline_5pct,4.43,197.92190997840748,0.19792190997840747,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,February-26-2021,Condo/Co-op,4700 Sandyland #48,Carpinteria,CA,93013,1097394,2,2,CARPINTERIA-SUMMERLAND,828,NA,1970,NA,1057,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-48/home/21614390,SBMLS,21-262,N,Y,34.395704,-119.52713,"4700 Sandyland #48, Carpinteria, CA",54869.700000000004,4572.475,4572.475,baseline_5pct,3.69,231.38812103142791,0.23138812103142792,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,May-15-2024,Condo/Co-op,4925 Sandyland Rd #F,Carpinteria,CA,93013,4600000,2,3,Sandyland Cove,1538,NA,1987,NA,2991,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4925-Sandyland-Rd-93013/unit-F/home/21613633,SBMLS,24-1344,N,Y,34.3941663,-119.525621,"4925 Sandyland Rd #F, Carpinteria, CA",230000,19166.666666666668,19166.666666666668,baseline_5pct,3.96,134.7219304323713,0.1347219304323713,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,December-15-2020,Condo/Co-op,4825 Sandyland Rd #6,Carpinteria,CA,93013,1495000,2,2,CARPINTERIA-SUMMERLAND,966,871,1978,NA,1548,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4825-Sandyland-Rd-93013/unit-6/home/21612906,SBMLS,20-4020,N,Y,34.394857,-119.526594,"4825 Sandyland Rd #6, Carpinteria, CA",74750,6229.166666666667,6229.166666666667,baseline_5pct,3.88,161.82640183427816,0.16182640183427816,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,February-9-2024,Condo/Co-op,4700 Sandyland Rd #8,Carpinteria,CA,93013,923835,1,1,CARPINTERIA-SUMMERLAND,558,435,1970,NA,1774,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-8/home/21614018,SBMLS,24-136,N,Y,34.395763,-119.5277,"4700 Sandyland Rd #8, Carpinteria, CA",46191.75,3849.3125,3849.3125,baseline_5pct,3.39,206.7930716297301,0.2067930716297301,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,September-27-2022,Condo/Co-op,4840 Sandyland Rd,Carpinteria,CA,93013,1650000,3,2.5,CARPINTERIA-SUMMERLAND,1275,435,1978,NA,1294,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4840-Sandyland-Rd-93013/home/21613793,SBMLS,22-3096,N,Y,34.3953149,-119.526461,"4840 Sandyland Rd, Carpinteria, CA",82500,6875,6875,baseline_5pct,4.11,222.79897836636792,0.22279897836636792,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,December-20-2024,Condo/Co-op,4700 Sandyland Rd #12,Carpinteria,CA,93013,1110000,2,1,CARPINTERIA-SUMMERLAND,700,871,1970,NA,1586,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-12/home/21614014,SBMLS,24-3860,N,Y,34.395656,-119.527397,"4700 Sandyland Rd #12, Carpinteria, CA",55500,4625,4625,baseline_5pct,3.46,211.00989398646163,0.21100989398646164,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,September-1-2022,Condo/Co-op,4950 Sandyland Rd #224,Carpinteria,CA,93013,843695,1,1,Sandyland Cove,540,NA,1962,NA,1574,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-224/home/21613801,SBMLS,22-2875,N,Y,34.394428,-119.525032,"4950 Sandyland Rd #224, Carpinteria, CA",42184.75,3515.3958333333335,3515.3958333333335,baseline_5pct,4.43,197.92190997840748,0.19792190997840747,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,April-7-2021,Condo/Co-op,4709 Sandyland Rd #4,Carpinteria,CA,93013,1650000,1,1,CARPINTERIA-SUMMERLAND,612,NA,1959,NA,2696,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4709-Sandyland-Rd-93013/unit-4/home/21614162,SBMLS,21-1021,N,Y,34.395329,-119.5285097,"4709 Sandyland Rd #4, Carpinteria, CA",82500,6875,6875,baseline_5pct,2.74,111.21742272684438,0.11121742272684437,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,July-15-2024,Condo/Co-op,4950 Sandyland Rd #129,Carpinteria,CA,93013,776711,1,1,CARPINTERIA-SUMMERLAND,436,NA,1962,NA,1837,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-129/home/21613837,SBMLS,24-1456,N,Y,34.394428,-119.525032,"4950 Sandyland Rd #129, Carpinteria, CA",38835.55,3236.2958333333336,3236.2958333333336,baseline_5pct,4.43,197.92190997840748,0.19792190997840747,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,June-2-2022,Condo/Co-op,4902 Sandyland Rd #136,Carpinteria,CA,93013,768533,1,1,CPTA - Carpinteria,442,434,1968,NA,1862,438,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4902-Sandyland-Rd-93013/unit-136/home/21613846,CRMLS,BB22092020,N,Y,34.3945566,-119.5251608,"4902 Sandyland Rd #136, Carpinteria, CA",38426.65,3202.2208333333333,3202.2208333333333,baseline_5pct,4.41,205.86244333379747,0.20586244333379747,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,June-22-2021,Condo/Co-op,4950 Sandyland Rd #220,Carpinteria,CA,93013,997536,2,1,CARPINTERIA-SUMMERLAND,744,NA,1962,NA,1142,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-220/home/21613797,SBMLS,21-1284,N,Y,34.394428,-119.525032,"4950 Sandyland Rd #220, Carpinteria, CA",49876.8,4156.4000000000005,4156.4000000000005,baseline_5pct,4.43,197.92190997840748,0.19792190997840747,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,February-22-2023,Single Family Residential,4923 Sandyland Rd,Carpinteria,CA,93013,8100000,4,3.5,Sandyland Cove,2361,2613,1957,NA,3431,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4923-Sandyland-Rd-93013/home/21613403,SBMLS,23-198,N,Y,34.3942179,-119.525802,"4923 Sandyland Rd, Carpinteria, CA",405000,33750,33750,baseline_5pct,3.87,130.76043141445936,0.13076043141445937,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
