"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","full_address","annual_rental_income","monthly_rental_income","rentalval","rentalval_note","elevation","distance_to_coast_meters","distance_to_coast_km","median_ageE","whiteE","blackE","asianE","hispanicE","median_incomeE","educationE","unemploymentE"
"PAST SALE","June-22-2021","Condo/Co-op","4950 Sandyland Rd #220","Carpinteria","CA","93013",997536,2,1,"CARPINTERIA-SUMMERLAND",744,NA,1962,NA,1142,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-220/home/21613797","SBMLS","21-1284","N","Y",34.394428,-119.525032,"4950 Sandyland Rd #220, Carpinteria, CA",49876.8,4156.4,4156.4,"baseline_5pct",4.43,197.921909978407,0.197921909978407,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE","February-22-2023","Single Family Residential","4923 Sandyland Rd","Carpinteria","CA","93013",8100000,4,3.5,"Sandyland Cove",2361,2613,1957,NA,3431,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4923-Sandyland-Rd-93013/home/21613403","SBMLS","23-198","N","Y",34.3942179,-119.525802,"4923 Sandyland Rd, Carpinteria, CA",405000,33750,33750,"baseline_5pct",3.87,130.760431414459,0.130760431414459,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE","November-24-2021","Condo/Co-op","4950 Sandyland Rd #229","Carpinteria","CA","93013",763093,1,1,"Sandyland Cove",436,NA,1962,NA,1720,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-229/home/21613806","SBMLS","21-4000","N","Y",34.394428,-119.525032,"4950 Sandyland Rd #229, Carpinteria, CA",38154.65,3179.55416666667,3179.55416666667,"baseline_5pct",4.43,197.921909978407,0.197921909978407,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE","January-18-2024","Condo/Co-op","4700 Sandyland Rd #16","Carpinteria","CA","93013",720969,1,1,"CPTA - Carpinteria",558,510,1970,NA,1254,825,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-16/home/21614011","CRMLS","SR23223244","N","Y",34.395661,-119.527155,"4700 Sandyland Rd #16, Carpinteria, CA",36048.45,3004.0375,3004.0375,"baseline_5pct",3.66,224.970880571991,0.224970880571991,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE","June-5-2024","Condo/Co-op","4700 Sandyland Rd #35","Carpinteria","CA","93013",1014287,2,2,"CARPINTERIA-SUMMERLAND",828,435,1970,NA,1164,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-35/home/21613995","SBMLS","24-1241","N","Y",34.395816,-119.527522,"4700 Sandyland Rd #35, Carpinteria, CA",50714.35,4226.19583333333,4226.19583333333,"baseline_5pct",3.5,222.837751023517,0.222837751023517,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE","January-13-2023","Single Family Residential","4595 Avenue Del Mar","Carpinteria","CA","93013",12500000,5,3.5,"CARPINTERIA-SUMMERLAND",2762,11325,1981,NA,4526,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4595-Del-Mar-Ave-93013/home/21614271","SBMLS","22-3572","N","Y",34.395382,-119.529523,"4595 Avenue Del Mar, Carpinteria, CA",625000,52083.3333333333,52083.3333333333,"baseline_5pct",2.4,74.8717225370326,0.0748717225370326,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE",NA,"Condo/Co-op","4950 Sandyland Rd #223","Carpinteria","CA","93013",777436,1,1,NA,574,NA,1962,NA,836,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-223/home/21613800",NA,NA,"N","Y",34.394428,-119.525032,"4950 Sandyland Rd #223, Carpinteria, CA",38871.8,3239.31666666667,3239.31666666667,"baseline_5pct",4.43,197.921909978407,0.197921909978407,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE","October-15-2024","Single Family Residential","4815 Sandyland Rd #A","Carpinteria","CA","93013",3965000,4,4,"CARPINTERIA-SUMMERLAND",2196,NA,2009,NA,1806,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4815-Sandyland-Rd-93013/unit-A/home/40438526","SBMLS","24-2661","N","Y",34.3948611,-119.5269026,"4815 Sandyland Rd #A, Carpinteria, CA",198250,16520.8333333333,16520.8333333333,"baseline_5pct",3.59,145.250041198316,0.145250041198316,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE","August-9-2022","Single Family Residential","607 Sand Point Rd","Carpinteria","CA","93013",2.3e+07,4,4,"CARPINTERIA-SUMMERLAND",3476,52272,1963,NA,6617,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/607-Sand-Point-Rd-93013/home/21612920","SBMLS","22-1347","N","Y",34.3994895,-119.5400456,"607 Sand Point Rd, Carpinteria, CA",1150000,95833.3333333333,95833.3333333333,"baseline_5pct",3.03,134.637510140106,0.134637510140106,57.8,3413,42,177,901,145066,1101,175
"PAST SALE",NA,"Single Family Residential","4315 Del Mar Ave","Carpinteria","CA","93013",8e+06,2,3,NA,1922,13068,1930,NA,4162,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/4315-Del-Mar-Ave-93013/home/21614292",NA,NA,"N","Y",34.3967051,-119.5341613,"4315 Del Mar Ave, Carpinteria, CA",4e+05,33333.3333333333,33333.3333333333,"baseline_5pct",2.83,187.678435904752,0.187678435904752,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE","January-23-2025","Condo/Co-op","4975 Sandyland Rd #109","Carpinteria","CA","93013",3200000,2,1,"CARPINTERIA-SUMMERLAND",683,871,1964,NA,4685,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-109/home/21613652","SBMLS","24-3157","N","Y",34.393902,-119.525147,"4975 Sandyland Rd #109, Carpinteria, CA",160000,13333.3333333333,13333.3333333333,"baseline_5pct",4.06,129.970146447254,0.129970146447254,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE","June-7-2021","Condo/Co-op","4975 Sandyland Rd #206","Carpinteria","CA","93013",1350000,2,1,"CARPINTERIA-SUMMERLAND",683,NA,1964,NA,1977,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-206/home/21613644","SBMLS","21-305","N","Y",34.393902,-119.525147,"4975 Sandyland Rd #206, Carpinteria, CA",67500,5625,5625,"baseline_5pct",4.06,129.970146447254,0.129970146447254,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE","September-4-2024","Condo/Co-op","4950 Sandyland Rd #230","Carpinteria","CA","93013",752938,1,1,"CARPINTERIA-SUMMERLAND",436,NA,1962,NA,1718,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-230/home/21613807","SBMLS","24-433","N","Y",34.394428,-119.525032,"4950 Sandyland Rd #230, Carpinteria, CA",37646.9,3137.24166666667,3137.24166666667,"baseline_5pct",4.43,197.921909978407,0.197921909978407,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE",NA,"Single Family Residential","4755 Sandyland Rd #6","Carpinteria","CA","93013",1170000,2,1,NA,875,871,1959,NA,1337,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/4755-Sandyland-Rd-93013/unit-6/home/21614167",NA,NA,"N","Y",34.395378,-119.5279833,"4755 Sandyland Rd #6, Carpinteria, CA",58500,4875,4875,"baseline_5pct",3,146.049904699981,0.146049904699981,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE",NA,"Condo/Co-op","4975 Sandyland Rd #210","Carpinteria","CA","93013",1527500,2,1,NA,683,NA,1964,NA,2236,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-210/home/21613639",NA,NA,"N","Y",34.393902,-119.525147,"4975 Sandyland Rd #210, Carpinteria, CA",76375,6364.58333333333,6364.58333333333,"baseline_5pct",4.06,129.970146447254,0.129970146447254,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE","July-6-2011","Condo/Co-op","4825 Sandyland Rd #4","Carpinteria","CA","93013",2354892,2,2,"Sandyland Cove",966,NA,1978,NA,1128,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4825-Sandyland-Rd-93013/unit-4/home/21612908","SBMLS","11-380","Y","Y",34.394747,-119.526726,"4825 Sandyland Rd #4, Carpinteria, CA",117744.6,9812.05,9812.05,"baseline_5pct",3.66,141.649374669048,0.141649374669048,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE",NA,"Condo/Co-op","4825 Sandyland Rd #7","Carpinteria","CA","93013",958456,2,2,NA,966,NA,1978,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/4825-Sandyland-Rd-93013/unit-7/home/21612905",NA,NA,"Y","Y",34.3948,-119.526516,"4825 Sandyland Rd #7, Carpinteria, CA",47922.8,3993.56666666667,3993.56666666667,"baseline_5pct",3.86,159.462635396046,0.159462635396046,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE",NA,"Condo/Co-op","4825 Sandyland Rd #8","Carpinteria","CA","93013",952313,2,2,NA,966,NA,1978,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/4825-Sandyland-Rd-93013/unit-8/home/21612904",NA,NA,"Y","Y",34.394714,-119.526593,"4825 Sandyland Rd #8, Carpinteria, CA",47615.65,3967.97083333333,3967.97083333333,"baseline_5pct",3.72,145.135961772597,0.145135961772597,40.8,3225,8,89,1767,106225,1105,204
"PAST SALE","July-22-2003","Condo/Co-op","4880 Sandyland Apt 12 Rd","Carpinteria","CA","93013-2318",773760,1,1,"Carpinteria",NA,NA,1962,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4880-Sandyland-Rd-93013/unit-12/home/21614237","SBMLS","03-1391","Y","Y",34.394871,-119.525729,"4880 Sandyland Apt 12 Rd, Carpinteria, CA",38688,3224,3224,"baseline_5pct",4.31,211.274844374806,0.211274844374806,40.8,3225,8,89,1767,106225,1105,204
