parcel_id,scenario,cliff_scenario,retreat_year,T_flood,T_cliff,initial_cliff_dist,cliff_exposure_status,retreat_trigger,timing_category,parameter_set,rental_yield,discount_rate,damage_threshold,owner_utility,ADDRESS,PRICE,strval,landval,LATITUDE,LONGITUDE,rent,npv_rent,buyout_uncapped,buyout_price
118,High,LetItGo,81,81,81,260.8823057484341,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,40 SANTA MARIA Ave,813193,240705.12800000003,572487.872,37.6350926,-122.4932529,40659.65,NA,NA,NA
119,High,LetItGo,81,81,81,256.086127504836,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,30 SANTA MARIA Ave,1698714,502819.34400000004,1195894.656,37.6351135,-122.4934165,84935.70000000001,NA,NA,NA
120,High,LetItGo,81,81,81,256.5462838259588,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,8 SANTA MARIA Ave,948352,280712.19200000004,667639.808,37.6350848,-122.4937746,47417.600000000006,NA,NA,NA
121,High,LetItGo,81,81,81,285.2179140648221,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,9 Salada Ave,1230000,364080,865920,37.63483,-122.4936598,61500,NA,NA,NA
122,High,LetItGo,81,81,81,288.8198729335142,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,5 Salada Ave,932569,276040.424,656528.576,37.6347936,-122.4937994,46628.450000000004,NA,NA,NA
123,High,LetItGo,81,81,81,290.3566615041584,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,1 Salada Ave,1255000,371480,883520,37.6347831,-122.4940166,62750,NA,NA,NA
124,High,LetItGo,81,81,81,275.84050761286306,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,1815 Beach Blvd,1252131,370630.77600000007,881500.2239999999,37.634913,-122.49399,62606.55,NA,NA,NA
125,High,LetItGo,81,81,81,255.84812717021697,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,2 Santa Maria Ave,1592588,471406.04799999995,1121181.952,37.6350933,-122.493989,79629.40000000001,NA,NA,NA
126,High,LetItGo,81,81,81,192.4811567601203,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,44 CARMEL,1033542,305928.43200000003,727613.568,37.6357385,-122.4932011,51677.100000000006,NA,NA,NA
127,High,LetItGo,81,81,81,232.8203812724154,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,59 Santa Maria Ave,856814,253616.94400000002,603197.056,37.6354261,-122.4929363,42840.700000000004,NA,NA,NA
128,High,LetItGo,81,81,81,228.47110170416997,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,47 Santa Maria Ave,833455,246702.68000000005,586752.32,37.6354119,-122.4931528,41672.75,NA,NA,NA
129,High,LetItGo,81,81,81,218.40164922653696,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,25 Santa Maria Ave,952493,281937.9280000001,670555.0719999999,37.6354481,-122.4934899,47624.65,NA,NA,NA
130,High,LetItGo,81,81,81,197.35266435229215,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,8 Carmel,832594,246447.82400000002,586146.176,37.635621,-122.4937033,41629.700000000004,NA,NA,NA
131,High,LetItGo,81,81,81,218.24374876131128,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,1785 BEACH BOULEVARD Ave #30,1340000,396640,943360,37.6354339,-122.4940145,67000,NA,NA,NA
132,High,LetItGo,81,81,81,200.89582582155813,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,1781 Beach Blvd,1833536,542726.656,1290809.344,37.635589,-122.493985,91676.8,NA,NA,NA
133,High,LetItGo,81,81,81,152.53815792690892,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,80 PALOMA Ave,893252,264402.59200000006,628849.4079999999,37.6363236,-122.4927628,44662.600000000006,NA,NA,NA
134,High,LetItGo,81,81,81,157.56526501856806,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,88 Paloma,1370000,405520,964480,37.6363405,-122.4926499,68500,NA,NA,NA
135,High,LetItGo,81,81,81,180.93083975803805,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,87 Carmel Ave,887944,262831.424,625112.576,37.6360361,-122.4927131,44397.200000000004,NA,NA,NA
136,High,LetItGo,81,81,81,122.07360609695496,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,32 Paloma Ave,1082975,320560.6000000001,762414.3999999999,37.6363509,-122.4934117,54148.75,NA,NA,NA
137,High,LetItGo,81,81,81,152.9650723462982,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,23 Carmel Ave,895061,264938.056,630122.944,37.6360451,-122.4934985,44753.05,NA,NA,NA
138,High,LetItGo,81,81,81,152.6707533410349,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,11 Carmel Ave,925700,274007.20000000007,651692.7999999999,37.6360273,-122.4936668,46285,NA,NA,NA
139,High,LetItGo,81,81,81,136.04384302427837,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,1671 Beach Blvd,1318018,390133.3280000001,927884.6719999999,37.6361789,-122.4940313,65900.90000000001,NA,NA,NA
140,High,LetItGo,81,81,81,123.26040723646943,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,1669 BEACH Blvd,1315000,389240,925760,37.636291,-122.493989,65750,NA,NA,NA
