parcel_id,slr_m,storm,scenario,year,cliff_dist_m,cliff_exposed_50m,cliff_exposed_100m
4,0.5,w000,HoldTheLine,NA,266.7047230509747,FALSE,FALSE
4,0.75,w000,LetItGo,NA,216.9333597629598,FALSE,FALSE
4,0.75,w000,HoldTheLine,NA,266.7047230509747,FALSE,FALSE
4,0.92,w000,LetItGo,NA,209.6429815154654,FALSE,FALSE
4,0.92,w000,HoldTheLine,NA,266.7047230509747,FALSE,FALSE
4,1,w000,LetItGo,NA,206.75069174039703,FALSE,FALSE
4,1,w000,HoldTheLine,NA,266.7047230509747,FALSE,FALSE
4,1.25,w000,LetItGo,NA,199.3056342375966,FALSE,FALSE
4,1.25,w000,HoldTheLine,NA,266.7047230509747,FALSE,FALSE
4,1.5,w000,LetItGo,NA,193.4547097714927,FALSE,FALSE
4,1.5,w000,HoldTheLine,NA,266.7047230509747,FALSE,FALSE
4,1.75,w000,LetItGo,NA,188.4461368911994,FALSE,FALSE
4,1.75,w000,HoldTheLine,NA,266.7047230509747,FALSE,FALSE
4,2,w000,LetItGo,NA,183.77787616446162,FALSE,FALSE
4,2,w000,HoldTheLine,NA,266.7047230509747,FALSE,FALSE
4,2.5,w000,LetItGo,NA,174.2413935612516,FALSE,FALSE
4,2.5,w000,HoldTheLine,NA,266.7047230509747,FALSE,FALSE
4,3,w000,LetItGo,NA,164.13200074209016,FALSE,FALSE
4,3,w000,HoldTheLine,NA,266.7047230509747,FALSE,FALSE
4,5,w000,LetItGo,NA,148.57242760350732,FALSE,FALSE
4,5,w000,HoldTheLine,NA,266.7047230509747,FALSE,FALSE
5,0.25,w000,LetItGo,NA,25.41283430922439,TRUE,TRUE
5,0.25,w000,HoldTheLine,NA,59.068207126428156,FALSE,TRUE
5,0.5,w000,LetItGo,NA,6.231876279239523,TRUE,TRUE
5,0.5,w000,HoldTheLine,NA,59.068207126428156,FALSE,TRUE
5,0.75,w000,LetItGo,NA,31.674942027226724,TRUE,TRUE
5,0.75,w000,HoldTheLine,NA,59.068207126428156,FALSE,TRUE
5,0.92,w000,LetItGo,NA,45.16123513640924,TRUE,TRUE
5,0.92,w000,HoldTheLine,NA,59.068207126428156,FALSE,TRUE
5,1,w000,LetItGo,NA,50.56631749794189,FALSE,TRUE
5,1,w000,HoldTheLine,NA,59.068207126428156,FALSE,TRUE
5,1.25,w000,LetItGo,NA,64.43276527258162,FALSE,TRUE
5,1.25,w000,HoldTheLine,NA,59.068207126428156,FALSE,TRUE
5,1.5,w000,LetItGo,NA,75.2024488098701,FALSE,TRUE
5,1.5,w000,HoldTheLine,NA,59.068207126428156,FALSE,TRUE
5,1.75,w000,LetItGo,NA,84.4258189644612,FALSE,TRUE
5,1.75,w000,HoldTheLine,NA,59.068207126428156,FALSE,TRUE
5,2,w000,LetItGo,NA,93.13841340921357,FALSE,TRUE
5,2,w000,HoldTheLine,NA,59.068207126428156,FALSE,TRUE
5,2.5,w000,LetItGo,NA,110.88936026494207,FALSE,FALSE
5,2.5,w000,HoldTheLine,NA,59.068207126428156,FALSE,TRUE
5,3,w000,LetItGo,NA,129.1240671891401,FALSE,FALSE
5,3,w000,HoldTheLine,NA,59.068207126428156,FALSE,TRUE
5,5,w000,LetItGo,NA,168.70971260397502,FALSE,FALSE
5,5,w000,HoldTheLine,NA,59.068207126428156,FALSE,TRUE
6,0.25,w000,LetItGo,NA,499.40368148325723,FALSE,FALSE
6,0.25,w000,HoldTheLine,NA,502.4406457224802,FALSE,FALSE
6,0.5,w000,LetItGo,NA,495.93801565851714,FALSE,FALSE
6,0.5,w000,HoldTheLine,NA,502.4406457224802,FALSE,FALSE
6,0.75,w000,LetItGo,NA,494.2807669322363,FALSE,FALSE
6,0.75,w000,HoldTheLine,NA,502.4406457224802,FALSE,FALSE
6,0.92,w000,LetItGo,NA,493.7171080061247,FALSE,FALSE
6,0.92,w000,HoldTheLine,NA,502.4406457224802,FALSE,FALSE
6,1,w000,LetItGo,NA,493.54757267419086,FALSE,FALSE
6,1,w000,HoldTheLine,NA,502.4406457224802,FALSE,FALSE
6,1.25,w000,LetItGo,NA,493.26484768510295,FALSE,FALSE
6,1.25,w000,HoldTheLine,NA,502.4406457224802,FALSE,FALSE
6,1.5,w000,LetItGo,NA,493.2128838406478,FALSE,FALSE
6,1.5,w000,HoldTheLine,NA,502.4406457224802,FALSE,FALSE
6,1.75,w000,LetItGo,NA,493.3027711749097,FALSE,FALSE
6,1.75,w000,HoldTheLine,NA,502.4406457224802,FALSE,FALSE
6,2,w000,LetItGo,NA,493.5130090464693,FALSE,FALSE
6,2,w000,HoldTheLine,NA,502.4406457224802,FALSE,FALSE
6,2.5,w000,LetItGo,NA,494.40566127680034,FALSE,FALSE
6,2.5,w000,HoldTheLine,NA,502.4406457224802,FALSE,FALSE
6,3,w000,LetItGo,NA,496.3246295467505,FALSE,FALSE
6,3,w000,HoldTheLine,NA,502.4406457224802,FALSE,FALSE
6,5,w000,LetItGo,NA,506.9526759979246,FALSE,FALSE
6,5,w000,HoldTheLine,NA,502.4406457224802,FALSE,FALSE
7,0.25,w000,LetItGo,NA,28.004981363575922,TRUE,TRUE
7,0.25,w000,HoldTheLine,NA,13.911412324757958,TRUE,TRUE
7,0.5,w000,LetItGo,NA,65.51191436608877,FALSE,TRUE
7,0.5,w000,HoldTheLine,NA,13.911412324757958,TRUE,TRUE
7,0.75,w000,LetItGo,NA,96.76909524336826,FALSE,TRUE
7,0.75,w000,HoldTheLine,NA,13.911412324757958,TRUE,TRUE
7,0.92,w000,LetItGo,NA,113.43611541141344,FALSE,FALSE
7,0.92,w000,HoldTheLine,NA,13.911412324757958,TRUE,TRUE
7,1,w000,LetItGo,NA,120.09345717981157,FALSE,FALSE
7,1,w000,HoldTheLine,NA,13.911412324757958,TRUE,TRUE
7,1.25,w000,LetItGo,NA,137.02708025110343,FALSE,FALSE
7,1.25,w000,HoldTheLine,NA,13.911412324757958,TRUE,TRUE
7,1.5,w000,LetItGo,NA,149.99008559600188,FALSE,FALSE
7,1.5,w000,HoldTheLine,NA,13.911412324757958,TRUE,TRUE
7,1.75,w000,LetItGo,NA,161.00340296773857,FALSE,FALSE
7,1.75,w000,HoldTheLine,NA,13.911412324757958,TRUE,TRUE
7,2,w000,LetItGo,NA,171.40476850553108,FALSE,FALSE
7,2,w000,HoldTheLine,NA,13.911412324757958,TRUE,TRUE
7,2.5,w000,LetItGo,NA,192.46315600029132,FALSE,FALSE
7,2.5,w000,HoldTheLine,NA,13.423135580497567,TRUE,TRUE
7,3,w000,LetItGo,NA,213.17317709738583,FALSE,FALSE
7,3,w000,HoldTheLine,NA,12.836750036378039,TRUE,TRUE
7,5,w000,LetItGo,NA,257.40264954438493,FALSE,FALSE
7,5,w000,HoldTheLine,NA,11.393886997042376,TRUE,TRUE
8,0.25,w000,LetItGo,NA,22.096603069958313,TRUE,TRUE
8,0.25,w000,HoldTheLine,NA,59.56231356427884,FALSE,TRUE
8,0.5,w000,LetItGo,NA,12.409428776313593,TRUE,TRUE
8,0.5,w000,HoldTheLine,NA,59.56231356427884,FALSE,TRUE
