SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,annual_rental_income,monthly_rental_income,rentalval,rentalval_note,elevation,distance_to_coast_meters,distance_to_coast_km,median_ageE,whiteE,blackE,asianE,hispanicE,median_incomeE,educationE,unemploymentE,hazard_type,property_id
PAST SALE,NA,Single Family Residential,290 Shoreview Ave,Pacifica,CA,94044,1261793,3,2,NA,1510,5000,1953,NA,139,NA,NA,NA,NA,https://www.redfin.com/CA/Pacifica/290-Shoreview-Ave-94044/home/1945453,NA,NA,Y,Y,37.6373162,-122.4926852,"290 Shoreview Ave, Pacifica, CA",63089.65,5257.470833333334,5257.470833333334,baseline_5pct,11.88,327.72392961690076,0.3277239296169008,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,NA,Single Family Residential,282 Shoreview Ave,Pacifica,CA,94044,1284820,4,2,NA,1410,5000,1953,NA,55,NA,NA,NA,NA,https://www.redfin.com/CA/Pacifica/282-Shoreview-Ave-94044/home/2051848,NA,NA,Y,Y,37.6373077,-122.4928672,"282 Shoreview Ave, Pacifica, CA",64241,5353.416666666667,5353.416666666667,baseline_5pct,11.77,307.5003793039097,0.3075003793039097,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,NA,Single Family Residential,266 Shoreview Ave,Pacifica,CA,94044,1080394,3,1,NA,1050,5000,1953,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Pacifica/266-Shoreview-Ave-94044/home/1939497,NA,NA,Y,Y,37.6373329,-122.4932076,"266 Shoreview Ave, Pacifica, CA",54019.700000000004,4501.641666666667,4501.641666666667,baseline_5pct,11.2,269.52990933473313,0.26952990933473314,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,August-10-2020,Single Family Residential,274 Shoreview Ave,Pacifica,CA,94044,1050000,3,1,PACIFICA,1050,5000,1953,NA,1000,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/274-Shoreview-Ave-94044/home/1596597,MLSListings,ML81800285,Y,Y,37.637333,-122.4930342,"274 Shoreview Ave, Pacifica, CA",52500,4375,4375,baseline_5pct,11.41,288.8262095177438,0.2888262095177438,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,NA,Single Family Residential,295 Shoreview Ave,Pacifica,CA,94044,1084469,3,1,NA,1050,5639,1953,NA,588,NA,NA,NA,NA,https://www.redfin.com/CA/Pacifica/295-Shoreview-Ave-94044/home/1032369,NA,NA,Y,Y,37.6376724,-122.4925615,"295 Shoreview Ave, Pacifica, CA",54223.450000000004,4518.620833333333,4518.620833333333,baseline_5pct,11.95,340.2264103528905,0.34022641035289053,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,NA,Single Family Residential,285 Shoreview Ave,Pacifica,CA,94044,1055372,3,1,NA,1050,5000,1953,NA,73,NA,NA,NA,NA,https://www.redfin.com/CA/Pacifica/285-Shoreview-Ave-94044/home/584238,NA,NA,Y,Y,37.6376675,-122.4927406,"285 Shoreview Ave, Pacifica, CA",52768.600000000006,4397.383333333334,4397.383333333334,baseline_5pct,11.74,320.31281556812064,0.32031281556812063,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,October-20-2003,Single Family Residential,275 SHOREVIEW Ave,Pacifica,CA,94044,1127374,3,1,Edgemar,1050,5000,1962,NA,463,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/275-Shoreview-Ave-94044/home/1119403,MLSListings,ML80349756,Y,Y,37.6376753,-122.4929152,"275 SHOREVIEW Ave, Pacifica, CA",56368.700000000004,4697.391666666667,4697.391666666667,baseline_5pct,11.53,300.85495503488073,0.30085495503488074,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,September-22-2010,Single Family Residential,265 SHOREVIEW Ave,Pacifica,CA,94044,1178071,3,2,Pacifica,1050,5000,1953,NA,514,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/265-Shoreview-Ave-94044/home/1043772,MLSListings,ML81040420,Y,Y,37.6376717,-122.4930478,"265 SHOREVIEW Ave, Pacifica, CA",58903.55,4908.629166666667,4908.629166666667,baseline_5pct,11.33,286.1114579306438,0.2861114579306438,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,NA,Single Family Residential,255 Shoreview Ave,Pacifica,CA,94044,1086717,3,1,NA,1050,5000,1953,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Pacifica/255-Shoreview-Ave-94044/home/2018705,NA,NA,Y,Y,37.637667,-122.4932597,"255 Shoreview Ave, Pacifica, CA",54335.850000000006,4527.9875,4527.9875,baseline_5pct,10.99,262.54703684006995,0.26254703684006997,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,October-11-2019,Single Family Residential,245 Shoreview Ave,Pacifica,CA,94044,1125000,3,2,PACIFICA,1460,5000,1953,NA,771,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/245-Shoreview-Ave-94044/home/584244,MLSListings,ML81768222,Y,Y,37.6376739,-122.493418,"245 Shoreview Ave, Pacifica, CA",56250,4687.5,4687.5,baseline_5pct,10.88,244.90629847323996,0.24490629847323997,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
