"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","full_address","annual_rental_income","monthly_rental_income","rentalval","rentalval_note","elevation","distance_to_coast_meters","distance_to_coast_km","median_ageE","whiteE","blackE","asianE","hispanicE","median_incomeE","educationE","unemploymentE"
"PAST SALE","May-21-2012","Multi-Family (2-4 Unit)","30 SANTA MARIA Ave","Pacifica","CA",94044,1698714,5,3,"Pacifica",3294,4440,1961,NA,213,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/30-Santa-Maria-Ave-94044/home/1355734","MLSListings","ML81207320","Y","Y",37.6351135,-122.4934165,"30 SANTA MARIA Ave, Pacifica, CA",84935.7,7077.975,7077.975,"baseline_5pct",9.96,254.154219766702,0.254154219766702,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","April-24-2007","Single Family Residential","8 SANTA MARIA Ave","Pacifica","CA",94044,948352,3,1.5,"W. SHARP PARK",960,1,1913,NA,615,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/8-Santa-Maria-Ave-94044/home/1982570","MLSListings","ML80711986","Y","Y",37.6350848,-122.4937746,"8 SANTA MARIA Ave, Pacifica, CA",47417.6,3951.46666666667,3951.46666666667,"baseline_5pct",8.94,214.405189041825,0.214405189041825,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","May-6-2015","Multi-Family (2-4 Unit)","9 Salada Ave","Pacifica","CA",94044,1230000,6,3,"PACIFICA",3081,3510,1960,NA,399,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/9-Salada-Ave-94044/home/1130348","MLSListings","ML81456130","Y","Y",37.63483,-122.4936598,"9 Salada Ave, Pacifica, CA",61500,5125,5125,"baseline_5pct",8.25,228.084282500242,0.228084282500242,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","5 Salada Ave","Pacifica","CA",94044,932569,2,1,NA,810,2700,1948,NA,800,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/5-Salada-Ave-94044/home/618609",NA,NA,"Y","Y",37.6347936,-122.4937994,"5 Salada Ave, Pacifica, CA",46628.45,3885.70416666667,3885.70416666667,"baseline_5pct",7.76,212.678126127838,0.212678126127838,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","June-17-2020","Single Family Residential","1 Salada Ave","Pacifica","CA",94044,1255000,3,1.5,"PACIFICA",1230,5200,1950,NA,1020,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/1-Salada-Ave-94044/home/1605250","MLSListings","ML81791138","Y","Y",37.6347831,-122.4940166,"1 Salada Ave, Pacifica, CA",62750,5229.16666666667,5229.16666666667,"baseline_5pct",7.72,188.544469380398,0.188544469380398,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","1815 Beach Blvd","Pacifica","CA",94044,1252131,2,2.5,NA,1680,4200,1989,NA,24,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/1815-Beach-Blvd-94044/home/1840791",NA,NA,"Y","Y",37.634913,-122.49399,"1815 Beach Blvd, Pacifica, CA",62606.55,5217.2125,5217.2125,"baseline_5pct",8.41,191.043917211119,0.191043917211119,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Multi-Family (2-4 Unit)","2 Santa Maria Ave","Pacifica","CA",94044,1592588,5,5,NA,3760,8550,1947,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/2-Santa-Maria-Ave-94044/home/1421228",NA,NA,"Y","Y",37.6350933,-122.493989,"2 Santa Maria Ave, Pacifica, CA",79629.4,6635.78333333333,6635.78333333333,"baseline_5pct",9.24,190.515741493255,0.190515741493255,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","August-13-2004","Single Family Residential","44 CARMEL","Pacifica","CA",94044,1033542,4,2,"Pacifica",2160,1,1938,NA,259,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/44-Carmel-Ave-94044/home/1798107","MLSListings","ML80405630","Y","Y",37.6357385,-122.4932011,"44 CARMEL, Pacifica, CA",51677.1,4306.425,4306.425,"baseline_5pct",11.16,275.908140246861,0.275908140246861,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","59 Santa Maria Ave","Pacifica","CA",94044,856814,2,1,NA,630,4500,1952,NA,192,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/59-Santa-Maria-Ave-94044/home/1120082",NA,NA,"Y","Y",37.6354261,-122.4929363,"59 Santa Maria Ave, Pacifica, CA",42840.7,3570.05833333333,3570.05833333333,"baseline_5pct",11.51,306.484137555769,0.306484137555769,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","January-5-2017","Single Family Residential","47 Santa Maria Ave","Pacifica","CA",94044,833455,1,1,"PACIFICA",480,4499,1945,NA,1510,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/47-Santa-Maria-Ave-94044/home/618513","MLSListings","ML81626615","Y","Y",37.6354119,-122.4931528,"47 Santa Maria Ave, Pacifica, CA",41672.75,3472.72916666667,3472.72916666667,"baseline_5pct",10.52,282.441502612124,0.282441502612124,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","25 Santa Maria Ave","Pacifica","CA",94044,952493,2,1,NA,860,4500,1956,NA,59,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/25-Santa-Maria-Ave-94044/home/618520",NA,NA,"Y","Y",37.6354481,-122.4934899,"25 Santa Maria Ave, Pacifica, CA",47624.65,3968.72083333333,3968.72083333333,"baseline_5pct",9.79,244.799258996133,0.244799258996133,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","February-12-2015","Single Family Residential","8 Carmel","Pacifica","CA",94044,832594,1,1,"PACIFICA",460,4950,1942,NA,1304,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/8-Carmel-Ave-94044/home/1842683","MLSListings","ML81447625","Y","Y",37.635621,-122.4937033,"8 Carmel, Pacifica, CA",41629.7,3469.14166666667,3469.14166666667,"baseline_5pct",9.56,220.438023006099,0.220438023006099,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","March-9-2005","Single Family Residential","1785 BEACH BOULEVARD Ave #30","Pacifica","CA",94044,1340000,4,4,"Pacifica",3400,4500,NA,NA,394,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/1785-Beach-Blvd-94044/unit-30/home/113814582","MLSListings","ML80500180","Y","Y",37.6354339,-122.4940145,"1785 BEACH BOULEVARD Ave #30, Pacifica, CA",67000,5583.33333333333,5583.33333333333,"baseline_5pct",9.49,186.470007223317,0.186470007223317,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Multi-Family (2-4 Unit)","1781 Beach Blvd","Pacifica","CA",94044,1833536,6,6,NA,4840,6375,2012,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/1781-Beach-Blvd-94044/home/44621375",NA,NA,"Y","Y",37.635589,-122.493985,"1781 Beach Blvd, Pacifica, CA",91676.8,7639.73333333333,7639.73333333333,"baseline_5pct",8.78,189.202798673565,0.189202798673565,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","September-5-2014","Single Family Residential","80 PALOMA Ave","Pacifica","CA",94044,893252,2,1,"Pacifica",770,2250,1959,NA,669,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/80-Paloma-Ave-94044/home/1357247","MLSListings","ML81412649","Y","Y",37.6363236,-122.4927628,"80 PALOMA Ave, Pacifica, CA",44662.6,3721.88333333333,3721.88333333333,"baseline_5pct",11.62,322.608771195656,0.322608771195656,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","July-14-2017","Multi-Family (2-4 Unit)","88 Paloma","Pacifica","CA",94044,1370000,6,3,"PACIFICA",3240,4800,1961,NA,423,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/88-Paloma-Ave-94044/home/1986714","MLSListings","ML81647730","Y","Y",37.6363405,-122.4926499,"88 Paloma, Pacifica, CA",68500,5708.33333333333,5708.33333333333,"baseline_5pct",11.75,335.112801480392,0.335112801480392,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","87 Carmel Ave","Pacifica","CA",94044,887944,2,1,NA,900,4500,1920,NA,108,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/87-Carmel-Ave-94044/home/618065",NA,NA,"Y","Y",37.6360361,-122.4927131,"87 Carmel Ave, Pacifica, CA",44397.2,3699.76666666667,3699.76666666667,"baseline_5pct",12.12,329.159264719688,0.329159264719688,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","32 Paloma Ave","Pacifica","CA",94044,1082975,3,1,NA,920,6750,1953,NA,625,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/32-Paloma-Ave-94044/home/1502526",NA,NA,"Y","Y",37.6363509,-122.4934117,"32 Paloma Ave, Pacifica, CA",54148.75,4512.39583333333,4512.39583333333,"baseline_5pct",10.68,250.299723858373,0.250299723858373,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","23 Carmel Ave","Pacifica","CA",94044,895061,2,1,NA,800,4230,1947,NA,241,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/23-Carmel-Ave-94044/home/2013532",NA,NA,"Y","Y",37.6360451,-122.4934985,"23 Carmel Ave, Pacifica, CA",44753.05,3729.42083333333,3729.42083333333,"baseline_5pct",11.09,241.724848958102,0.241724848958102,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","11 Carmel Ave","Pacifica","CA",94044,925700,2,1,NA,800,4500,1952,NA,231,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/11-Carmel-Ave-94044/home/1939849",NA,NA,"Y","Y",37.6360273,-122.4936668,"11 Carmel Ave, Pacifica, CA",46285,3857.08333333333,3857.08333333333,"baseline_5pct",10.41,223.058873898004,0.223058873898004,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","1671 Beach Blvd","Pacifica","CA",94044,1318018,3,2,NA,1936,5000,1939,NA,88,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/1671-Beach-Blvd-94044/home/619682",NA,NA,"Y","Y",37.6361789,-122.4940313,"1671 Beach Blvd, Pacifica, CA",65900.9,5491.74166666667,5491.74166666667,"baseline_5pct",8.74,181.958157373912,0.181958157373912,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","April-30-2013","Single Family Residential","1669 BEACH Blvd","Pacifica","CA",94044,1315000,4,4,"Pacifica",3156,5000,2008,NA,417,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/1669-Beach-Blvd-94044/home/1105470","MLSListings","ML81308823","Y","Y",37.636291,-122.493989,"1669 BEACH Blvd, Pacifica, CA",65750,5479.16666666667,5479.16666666667,"baseline_5pct",8.12,186.267887535854,0.186267887535854,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","September-29-2020","Single Family Residential","2 Paloma Ave","Pacifica","CA",94044,1125000,2,1.5,"PACIFICA",1040,2800,1950,NA,1082,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/2-Paloma-Ave-94044/home/1789862","MLSListings","ML81805967","Y","Y",37.6364029,-122.4940205,"2 Paloma Ave, Pacifica, CA",56250,4687.5,4687.5,"baseline_5pct",8.12,182.365563302313,0.182365563302313,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Multi-Family (2-4 Unit)","35 Paloma Ave","Pacifica","CA",94044,984000,4,4,NA,2918,5150,2000,NA,337,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/35-Paloma-Ave-94044/home/1291337",NA,NA,"Y","Y",37.6367154,-122.4934899,"35 Paloma Ave, Pacifica, CA",49200,4100,4100,"baseline_5pct",11.12,240.304532815268,0.240304532815268,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","15 Paloma Ave","Pacifica","CA",94044,1118818,2,1,NA,960,4647,1949,NA,172,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/15-Paloma-Ave-94044/home/1450341",NA,NA,"Y","Y",37.636673,-122.4936467,"15 Paloma Ave, Pacifica, CA",55940.9,4661.74166666667,4661.74166666667,"baseline_5pct",10.16,223.005574337969,0.223005574337969,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","September-22-2014","Single Family Residential","7 PALOMA Ave","Pacifica","CA",94044,1087176,2,2,"Pacifica",830,3399,1940,NA,790,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/7-Paloma-Ave-94044/home/618052","MLSListings","ML81431322","Y","Y",37.6366479,-122.4937585,"7 PALOMA Ave, Pacifica, CA",54358.8,4529.9,4529.9,"baseline_5pct",9.37,210.65303990136,0.21065303990136,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Multi-Family (2-4 Unit)","1581 Beach Blvd","Pacifica","CA",94044,1705911,6,4.5,NA,4044,5000,1965,NA,132,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/1581-Beach-Blvd-94044/home/1714384",NA,NA,"Y","Y",37.6367851,-122.4939934,"1581 Beach Blvd, Pacifica, CA",85295.55,7107.9625,7107.9625,"baseline_5pct",8.68,184.025805094302,0.184025805094302,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","290 Shoreview Ave","Pacifica","CA",94044,1220475,3,2,NA,1510,5000,1953,NA,139,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/290-Shoreview-Ave-94044/home/1945453",NA,NA,"Y","Y",37.6373162,-122.4926852,"290 Shoreview Ave, Pacifica, CA",61023.75,5085.3125,5085.3125,"baseline_5pct",11.88,327.723929616901,0.327723929616901,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","282 Shoreview Ave","Pacifica","CA",94044,1254041,4,2,NA,1410,5000,1953,NA,55,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/282-Shoreview-Ave-94044/home/2051848",NA,NA,"Y","Y",37.6373077,-122.4928672,"282 Shoreview Ave, Pacifica, CA",62702.05,5225.17083333333,5225.17083333333,"baseline_5pct",11.77,307.50037930391,0.30750037930391,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","266 Shoreview Ave","Pacifica","CA",94044,1173416,3,1,NA,1050,5000,1953,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/266-Shoreview-Ave-94044/home/1939497",NA,NA,"Y","Y",37.6373329,-122.4932076,"266 Shoreview Ave, Pacifica, CA",58670.8,4889.23333333333,4889.23333333333,"baseline_5pct",11.2,269.529909334733,0.269529909334733,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","August-10-2020","Single Family Residential","274 Shoreview Ave","Pacifica","CA",94044,1050000,3,1,"PACIFICA",1050,5000,1953,NA,1000,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/274-Shoreview-Ave-94044/home/1596597","MLSListings","ML81800285","Y","Y",37.637333,-122.4930342,"274 Shoreview Ave, Pacifica, CA",52500,4375,4375,"baseline_5pct",11.41,288.826209517744,0.288826209517744,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","295 Shoreview Ave","Pacifica","CA",94044,1012402,3,1,NA,1050,5639,1953,NA,588,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/295-Shoreview-Ave-94044/home/1032369",NA,NA,"Y","Y",37.6376724,-122.4925615,"295 Shoreview Ave, Pacifica, CA",50620.1,4218.34166666667,4218.34166666667,"baseline_5pct",11.95,340.226410352891,0.340226410352891,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","285 Shoreview Ave","Pacifica","CA",94044,1042087,3,1,NA,1050,5000,1953,NA,73,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/285-Shoreview-Ave-94044/home/584238",NA,NA,"Y","Y",37.6376675,-122.4927406,"285 Shoreview Ave, Pacifica, CA",52104.35,4342.02916666667,4342.02916666667,"baseline_5pct",11.74,320.312815568121,0.320312815568121,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","October-20-2003","Single Family Residential","275 SHOREVIEW Ave","Pacifica","CA",94044,1084013,3,1,"Edgemar",1050,5000,1962,NA,463,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/275-Shoreview-Ave-94044/home/1119403","MLSListings","ML80349756","Y","Y",37.6376753,-122.4929152,"275 SHOREVIEW Ave, Pacifica, CA",54200.65,4516.72083333333,4516.72083333333,"baseline_5pct",11.53,300.854955034881,0.300854955034881,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","September-22-2010","Single Family Residential","265 SHOREVIEW Ave","Pacifica","CA",94044,1127991,3,2,"Pacifica",1050,5000,1953,NA,514,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/265-Shoreview-Ave-94044/home/1043772","MLSListings","ML81040420","Y","Y",37.6376717,-122.4930478,"265 SHOREVIEW Ave, Pacifica, CA",56399.55,4699.9625,4699.9625,"baseline_5pct",11.33,286.111457930644,0.286111457930644,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","255 Shoreview Ave","Pacifica","CA",94044,1155234,3,1,NA,1050,5000,1953,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/255-Shoreview-Ave-94044/home/2018705",NA,NA,"Y","Y",37.637667,-122.4932597,"255 Shoreview Ave, Pacifica, CA",57761.7,4813.475,4813.475,"baseline_5pct",10.99,262.54703684007,0.26254703684007,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","October-11-2019","Single Family Residential","245 Shoreview Ave","Pacifica","CA",94044,1125000,3,2,"PACIFICA",1460,5000,1953,NA,771,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/245-Shoreview-Ave-94044/home/584244","MLSListings","ML81768222","Y","Y",37.6376739,-122.493418,"245 Shoreview Ave, Pacifica, CA",56250,4687.5,4687.5,"baseline_5pct",10.88,244.90629847324,0.24490629847324,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","235 Shoreview Ave","Pacifica","CA",94044,1091004,3,1,NA,1050,5742,1953,NA,214,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/235-Shoreview-Ave-94044/home/2040119",NA,NA,"Y","Y",37.6376671,-122.4936029,"235 Shoreview Ave, Pacifica, CA",54550.2,4545.85,4545.85,"baseline_5pct",10.57,224.353995042867,0.224353995042867,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","December-1-2016","Single Family Residential","180 Surf St","Pacifica","CA",94044,868300,3,1,"West Sharp Park",1050,5000,1954,NA,827,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/180-Surf-St-94044/home/1672008","San Francisco MLS","453788","Y","Y",37.6380143,-122.4927825,"180 Surf St, Pacifica, CA",43415,3617.91666666667,3617.91666666667,"baseline_5pct",12.14,314.419990889742,0.314419990889742,40.1,2798,174,615,804,142134,1107,136
"PAST SALE","February-10-2016","Single Family Residential","166 surf","Pacifica","CA",94044,840500,3,1,"PACIFICA",1050,5000,1954,NA,800,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/166-Surf-St-94044/home/584230","MLSListings","ML81546574","Y","Y",37.6380186,-122.4929581,"166 surf, Pacifica, CA",42025,3502.08333333333,3502.08333333333,"baseline_5pct",11.87,294.863259932182,0.294863259932182,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","136 Surf St","Pacifica","CA",94044,1086202,3,2,NA,1136,5000,1954,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/136-Surf-St-94044/home/1095448",NA,NA,"Y","Y",37.6380254,-122.493291,"136 Surf St, Pacifica, CA",54310.1,4525.84166666667,4525.84166666667,"baseline_5pct",11.51,257.792680407414,0.257792680407413,40.1,2798,174,615,804,142134,1107,136
"PAST SALE",NA,"Single Family Residential","120 Surf St","Pacifica","CA",94044,1063539,3,1,NA,1050,5000,1954,NA,214,NA,NA,NA,NA,"https://www.redfin.com/CA/Pacifica/120-Surf-St-94044/home/2050006",NA,NA,"Y","Y",37.6380192,-122.4934749,"120 Surf St, Pacifica, CA",53176.95,4431.4125,4431.4125,"baseline_5pct",11.22,237.349533073066,0.237349533073066,40.1,2798,174,615,804,142134,1107,136
