SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-12-2018,Townhouse,10 Santa Rosa Ave,Pacifica,CA,94044,1395000,4,3.0,PACIFICA,2225,954,2015,,627,310,Sold,,,https://www.redfin.com/CA/Pacifica/10-Santa-Rosa-Ave-94044/home/28451416,MLSListings,ML81685079,Y,Y,37.6331747,-122.4938086
PAST SALE,,Multi-Family (2-4 Unit),2121 Beach Blvd,Pacifica,CA,94044,1100000,6,4.0,,4436,5670,1961,,248,,,,,https://www.redfin.com/CA/Pacifica/2121-Beach-Blvd-94044/home/1912978,,,Y,Y,37.6330713,-122.4940086
PAST SALE,February-22-2013,Multi-Family (2-4 Unit),47 SANTA ROSA Ave,Pacifica,CA,94044,562000,3,2.0,Pacifica,2120,4500,1991,,265,,Sold,,,https://www.redfin.com/CA/Pacifica/47-Santa-Rosa-Ave-94044/home/1045777,MLSListings,ML81145404,Y,Y,37.6335806,-122.4931568
PAST SALE,,Single Family Residential,40 San Jose Ave,Pacifica,CA,94044,75000,1,1.0,,620,4500,1952,,121,,,,,https://www.redfin.com/CA/Pacifica/40-San-Jose-Ave-94044/home/1799730,,,Y,Y,37.6338717,-122.4933568
PAST SALE,July-20-2017,Single Family Residential,31 Santa Rosa Ave,Pacifica,CA,94044,850000,2,1.0,PACIFICA,780,4500,1951,,1090,,Sold,,,https://www.redfin.com/CA/Pacifica/31-Santa-Rosa-Ave-94044/home/620124,MLSListings,ML81655141,Y,Y,37.6335634,-122.4935233
PAST SALE,November-1-2000,Multi-Family (2-4 Unit),1 & 5 SANTA ROSA Ave,Pacifica,CA,94044,420000,2,2.0,Pacifica,,4791,,,,,Sold,,,https://www.redfin.com/CA/Pacifica/1-Santa-Rosa-Ave-94044/home/619110,MLSListings,ML80036446,Y,Y,37.6335666,-122.4939916
PAST SALE,March-31-2018,Single Family Residential,2081 Beach Blvd,Pacifica,CA,94044,1100000,2,2.0,PACIFICA,1350,4200,1949,,815,,Sold,,,https://www.redfin.com/CA/Pacifica/2081-Beach-Blvd-94044/home/1056213,MLSListings,ML81688678,Y,Y,37.633633,-122.4939773
PAST SALE,,Multi-Family (2-4 Unit),14 San Jose Ave,Pacifica,CA,94044,375000,6,4.0,,4256,4500,1962,,88,,,,,https://www.redfin.com/CA/Pacifica/14-San-Jose-Ave-94044/home/619104,,,Y,Y,37.6338182,-122.4938065
PAST SALE,,Single Family Residential,2071 Beach Blvd,Pacifica,CA,94044,75000,3,2.0,,1260,2250,1992,,60,,,,,https://www.redfin.com/CA/Pacifica/2071-Beach-Blvd-94044/home/1990580,,,Y,Y,37.6337005,-122.494009
PAST SALE,,Multi-Family (2-4 Unit),18 Salada Ave,Pacifica,CA,94044,1050000,6,4.0,,4256,4500,1962,,247,,,,,https://www.redfin.com/CA/Pacifica/18-Salada-Ave-94044/home/2031160,,,Y,Y,37.63446,-122.49366
