parcel_id,slr_m,depth_m
1,0,0
1,0.25,0
1,0.5,0
1,0.75,0
1,1,0
1,1.25,0
1,1.5,0
1,1.75,0
1,2,0
1,5,1.953665771484375
2,0,0
2,0.25,0
2,0.5,0
2,0.75,0
2,1,0
2,1.25,0
2,1.5,0
2,1.75,0.045451421737670895
2,2,0.5254514312744141
2,5,3.5954513549804688
3,0,0
3,0.25,0
3,0.5,0
3,0.75,0.30017093658447264
3,1,0.4696504592895508
3,1.25,0.6269541168212891
3,1.5,0.7642578125
3,1.75,1.1042578125
3,2,1.4269541931152343
3,5,3.3631668090820312
4,0,0
4,0.25,0
4,0.5,0
4,0.75,0.039987657070159915
4,1,0.21709762573242186
4,1.25,0.3768507766723633
4,1.5,0.5037138748168946
4,1.75,0.8166039276123047
4,2,1.1468507385253905
4,5,3.4940866088867186
5,0,0
5,0.25,0
5,0.5,0
5,0.75,0.30017093658447264
5,1,0.4696504592895508
5,1.25,0.6269541168212891
5,1.5,0.7642578125
5,1.75,1.1042578125
5,2,1.4269541931152343
5,5,3.3631668090820312
6,0,0
6,0.25,0
6,0.5,0
6,0.75,0
6,1,0
6,1.25,0.2905011367797852
6,1.5,0.6205011367797851
6,1.75,0.7805010986328125
6,2,0.949623794555664
6,5,3.814355773925781
7,0,0
7,0.25,0
7,0.5,0
7,0.75,0
7,1,0
7,1.25,0
7,1.5,0
7,1.75,0.04149549961090088
7,2,0.5010385513305664
7,5,3.5311209106445314
8,0,0
8,0.25,0
8,0.5,0
8,0.75,0
8,1,0
8,1.25,0
8,1.5,0.05708616733551025
8,1.75,0.5431430816650391
8,2,0.983143081665039
8,5,3.7672845458984376
9,0,0
9,0.25,0
9,0.5,0
9,0.75,0.30017093658447264
9,1,0.4696504592895508
9,1.25,0.6269541168212891
9,1.5,0.7642578125
9,1.75,1.1042578125
9,2,1.4269541931152343
9,5,3.3631668090820312
10,0,0
10,0.25,0
10,0.5,0
10,0.75,0.06
10,1,0.24994142532348632
10,1.25,0.30994142532348634
10,1.5,0.37994140625
10,1.75,0.70994140625
10,2,1.051444091796875
10,5,3.861444091796875
11,0,0
11,0.25,0
11,0.5,0
11,0.75,0.06
11,1,0.24994142532348632
11,1.25,0.30994142532348634
11,1.5,0.37994140625
11,1.75,0.70994140625
11,2,1.051444091796875
11,5,3.861444091796875
12,0,0
12,0.25,0
12,0.5,0
12,0.75,0
12,1,0
12,1.25,0
12,1.5,0
12,1.75,0.011167265176773071
12,2,0.47065685272216795
12,5,3.50065673828125
13,0,0
13,0.25,0
13,0.5,0
13,0.75,0
13,1,0
13,1.25,0.1223924732208252
13,1.5,0.26239246368408203
13,1.75,0.5919622802734374
13,2,0.9311111450195313
13,5,3.06653076171875
14,0,0
14,0.25,0
14,0.5,0
14,0.75,0
14,1,0
14,1.25,0
14,1.5,0.07612892150878907
14,1.75,0.4813226318359375
14,2,0.8861289215087891
14,5,3.7214846801757813
15,0,0
15,0.25,0
15,0.5,0
15,0.75,0
15,1,0
15,1.25,0
15,1.5,0
15,1.75,0.08580693244934082
15,2,0.5570486450195312
15,5,3.617048645019531
16,0,0
16,0.25,0
16,0.5,0
16,0.75,0.030909667015075682
16,1,0.1959553337097168
16,1.25,0.23572790145874023
16,1.5,0.265860595703125
16,1.75,0.675860595703125
16,2,1.085860595703125
16,5,4.061657104492188
17,0,0
17,0.25,0
17,0.5,0
17,0.75,0
17,1,0
17,1.25,0
17,1.5,0
17,1.75,0.0757075309753418
17,2,0.5427916717529296
17,5,3.5857073974609377
18,0,0
