parcel_id,scenario,retreat_year,reason,ADDRESS,PRICE,rent,strval,landval,elevation,LATITUDE,LONGITUDE
53,Intermediate,101,never_floods,711 Sand Point Rd,7100000,96672,3464800,3635200,3.31,34.4016981,-119.5423044
54,Intermediate,1,immediate,701 Sand Point Rd,7200000,117708,3873057.4981711777,3326942.5018288223,2.94,34.4013214,-119.5418909
55,Intermediate,101,never_floods,685 Sand Point Rd,7290000,116424,3557520,3732480,2.88,34.4011155,-119.5416655
56,Intermediate,101,never_floods,671 Sand Point Rd,3511548,109236,1713635.4239999999,1797912.5760000001,2.77,34.4008581,-119.5414381
57,Intermediate,1,immediate,657 Sand Point Rd,7235000,117900,3891884.86100951,3343115.13899049,2.85,34.4006401,-119.5411437
58,Intermediate,1,immediate,645 Sand Point Rd,9100000,77316,4440800,4659200,2.8,34.400307,-119.5408851
59,Intermediate,101,no_retreat_needed,635 Sand Point Rd,3085107,78108,1505532.216,1579574.784,2.9,34.4000126,-119.5406023
60,Intermediate,1,immediate,625 Sand Point Rd,8500000,117192,4572359.546452085,3927640.453547915,3.06,34.399781,-119.5403518
61,Intermediate,1,immediate,591 Sand Point Rd,16250000,119760,7930000,8320000,3.24,34.3992475,-119.5397338
62,Intermediate,1,immediate,551 Sand Point Rd,9650000,98856,4709200,4940800,3.94,34.3986396,-119.5391096
63,Intermediate,101,never_floods,539 Sand Point Rd,2288017,70848,1116552.296,1171464.704,4,34.398331,-119.5388418
64,Intermediate,1,immediate,4217 Avenue Del Mar,16444061,117624,8024701.767999999,8419359.232,2.97,34.3967633,-119.53613
65,Intermediate,1,immediate,4237 Del Mar Ave,8141872,119844,3973233.536,4168638.464,2.9,34.396784,-119.5357877
66,Intermediate,1,immediate,4257 Avenue Del Mar,14000000,123036,6832000,7168000,2.9,34.3967947,-119.5355011
67,Intermediate,1,immediate,4267 Avenue Del Mar,15000000,123120,7320000,7680000,2.88,34.3968569,-119.5352062
68,Intermediate,1,immediate,4271 Del Mar Ave,7553467,120228,3686091.8959999997,3867375.1040000003,2.67,34.396586,-119.534908
