parcel_id,property_id,n_scenarios,pct_flooded,mean_depth_m,max_depth_m,mean_duration_hr,flooded_any,flooded_all,100-yr
44,4e20f1d2f1beaafe0b33fd8b63ee754d,5,1,1.256,3.73,21.629340744018556,TRUE,TRUE,1.25
45,862d3afe26c4e34e81aa8775f25a34e2,5,1,1.322,3.95,20.943931579589844,TRUE,TRUE,1.25
46,5fa404df6aa8eb519c17c3ef9b2f8641,6,0.8333333333333334,1.3216666666666668,4.13,18.765842278798424,TRUE,FALSE,1.25
47,e2e4cb936d41ce2a53d57604e0c8f138,5,1,1.316,3.96,20.514402770996092,TRUE,TRUE,1.25
48,3267ce5a6ef70cade696683c01ade678,5,1,1.19,3.5,20.78047294616699,TRUE,TRUE,1.25
49,75a17d216fabd33638ad4d4b11287948,7,0.8571428571428571,1.37,4.48,17.63132885524205,TRUE,FALSE,1
50,9a075e84b4a27045bbf8e7d7f5ebdbc2,6,1,1.3433333333333333,4.22,18.34717559814453,TRUE,TRUE,1
51,30e4d3cc266206e4c2ed30bd280e9354,6,1,1.1983333333333333,3.65,17.80017598470052,TRUE,TRUE,1
52,dab93058d9ca11f6c6b9d83f3ff64f5d,3,1,1.3066666666666666,3.22,21.762300491333008,TRUE,TRUE,1.75
53,ba30bf3c79091b7ba488c17422013653,1,1,2.83,2.83,24.209516525268555,TRUE,TRUE,5
54,1b6278ab5c2822e50d92a662a920f9cd,7,0.8571428571428571,1.4057142857142857,4.53,16.216396195547922,TRUE,FALSE,1
55,0045f368e49fe3280616cd2f946c2e4e,3,0.6666666666666666,1.2033333333333334,3.19,21.701999028523762,TRUE,FALSE,2
56,0f9172610ea7ad2104a6971a27e4e3cb,2,1,1.705,3.14,22.55955410003662,TRUE,TRUE,2
57,5d9c2a05a08558d55b02c0327b4df447,6,0.8333333333333334,1.2349999999999999,4.13,18.116082350413006,TRUE,FALSE,1.25
58,c37bb3af3bc962b23be05ede85a95227,7,0.8571428571428571,1.4114285714285715,4.46,18.177431924002512,TRUE,FALSE,1
59,2ba4ae8fb559982704ca2d60f5bcb2fa,5,1,1.42,4.08,20.918666458129884,TRUE,TRUE,1.25
60,4ad4c8215c6fffa3117985d90cffb766,6,0.8333333333333334,1.2133333333333334,3.86,19.12928899129232,TRUE,FALSE,1.25
61,671f697ca683fcd3dfef97963abd2555,7,0.8571428571428571,1.247142857142857,4.05,17.883831024169922,TRUE,FALSE,1
