parcel_id,slr_m,storm,depth_m,depth_m_w100,duration_hr,duration_hr_w100,wave_ht_m,wave_ht_m_w100,flooded,runup_dist_m,runup_exposed,runup_dist_m_w100,runup_exposed_w100,in_squeeze_zone,cliff_dist_m,cliff_exposed
1,0,w000,0,0,0,0,0,0,FALSE,42.574073494546695,TRUE,27.409123126317404,TRUE,NA,2748.374933655393,FALSE
1,0.25,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,2748.374933655393,FALSE
1,0.5,w000,0,0,0,0,0,0,FALSE,34.2925760523561,TRUE,26.583811640658496,TRUE,FALSE,2748.374933655393,FALSE
1,0.75,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,2748.374933655393,FALSE
1,1,w000,0,0,0,0,0,0,FALSE,33.39460611482626,TRUE,21.915268157731497,TRUE,FALSE,2748.374933655393,FALSE
1,1.25,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,2748.374933655393,FALSE
1,1.5,w000,0,0,0,0,0,0,FALSE,15.297676009872928,TRUE,15.297676009872928,TRUE,FALSE,2748.374933655393,FALSE
1,1.75,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,2748.374933655393,FALSE
1,2,w000,0,0,0,0,0,0,FALSE,27.409123126317404,TRUE,1063.4894832920938,FALSE,FALSE,2748.374933655393,FALSE
1,5,w000,1.840542755126953,2.1,24.45550537109375,24.498394012451172,0.6097475290298462,2.3611812591552734,TRUE,1101.7629612971166,FALSE,1107.7106467558156,FALSE,FALSE,2748.374933655393,FALSE
2,0,w000,0,0,0,0,0,0,FALSE,137.77929171068487,FALSE,171.95000544929707,FALSE,NA,1641.618657677085,FALSE
2,0.25,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1641.618657677085,FALSE
2,0.5,w000,0,0,0,0,0,0,FALSE,113.03398598971025,FALSE,83.74596786401392,FALSE,FALSE,1641.618657677085,FALSE
2,0.75,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1641.618657677085,FALSE
2,1,w000,0,0,0,0,0,0,FALSE,83.95324496994698,FALSE,161.93451025606524,FALSE,FALSE,1641.618657677085,FALSE
2,1.25,w000,0,0.1,0,22.514102935791016,0,0.043093036860227585,FALSE,NA,NA,NA,NA,FALSE,1641.618657677085,FALSE
2,1.5,w000,0.13545142173767089,0.57,21.391357421875,22.514102935791016,0.01922937110066414,0.043093036860227585,FALSE,164.71277589765052,FALSE,189.13404728604388,FALSE,FALSE,1641.618657677085,FALSE
2,1.75,w000,0.0554514217376709,0.79,23.224239349365234,24.850000381469727,0.06306260824203491,0.07824090123176575,FALSE,NA,NA,NA,NA,FALSE,1641.618657677085,FALSE
2,2,w000,0.0554514217376709,1.01,23.224239349365234,24.850000381469727,0.06306549906730652,0.07824090123176575,FALSE,83.74205937501952,FALSE,860.755795867167,FALSE,FALSE,1641.618657677085,FALSE
2,5,w000,3.4954513549804687,3.85,24.25062370300293,24.30121612548828,0.4499434530735016,1.5932649374008179,TRUE,859.7142055950196,FALSE,861.6982874232443,FALSE,FALSE,1641.618657677085,FALSE
3,0,w000,0,0,0,0,0,0,FALSE,64.08427148737255,FALSE,133.20024167466022,FALSE,NA,1326.6029286408466,FALSE
3,0.25,w000,0,0.17,0,8.055525779724121,0,0.11309144645929337,FALSE,NA,NA,NA,NA,FALSE,1326.6029286408466,FALSE
3,0.5,w000,0,0.07,0,8.055525779724121,0,0.11309144645929337,FALSE,29.73464590494477,TRUE,151.28400334729855,FALSE,FALSE,1326.6029286408466,FALSE
3,0.75,w000,0,0.3,0,8.482233047485352,0,0.1864231526851654,FALSE,NA,NA,NA,NA,FALSE,1326.6029286408466,FALSE
3,1,w000,0,0.37,0,8.482233047485352,0,0.1864231526851654,FALSE,34.509005030601195,TRUE,232.38096404955817,FALSE,FALSE,1326.6029286408466,FALSE
3,1.25,w000,0.36624149322509764,0.91,13.190064430236816,18.052106857299805,0.1319635659456253,0.2637998163700104,TRUE,NA,NA,NA,NA,FALSE,1326.6029286408466,FALSE
3,1.5,w000,0.6867619323730468,1.43,13.190064430236816,18.052106857299805,0.13186025619506836,0.2637998163700104,TRUE,333.803641376361,FALSE,333.803641376361,FALSE,FALSE,1326.6029286408466,FALSE
3,1.75,w000,0.42425777435302736,1.54,21.615827560424805,23.373985290527344,0.18664367496967316,0.5166115164756775,TRUE,NA,NA,NA,NA,FALSE,1326.6029286408466,FALSE
3,2,w000,0.40695411682128907,1.8,21.615827560424805,23.373985290527344,0.18673358857631683,0.5166115164756775,TRUE,151.23253560352066,FALSE,1089.2696433356998,FALSE,FALSE,1326.6029286408466,FALSE
3,5,w000,3.263166809082031,3.58,24.340784072875977,24.351350784301758,0.45641979575157166,2.093552827835083,TRUE,1088.3191740000605,FALSE,1090.12095257135,FALSE,FALSE,1326.6029286408466,FALSE
4,0,w000,0,0,0,0,0,0,FALSE,59.54755007156521,FALSE,100.61833619463793,FALSE,NA,1360.5999789170742,FALSE
4,0.25,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1360.5999789170742,FALSE
4,0.5,w000,0,0,0,0,0,0,FALSE,19.35585845431276,TRUE,123.06730284878168,FALSE,FALSE,1360.5999789170742,FALSE
4,0.75,w000,0,0.04,0,9.378973960876465,0,0.2988702952861786,FALSE,NA,NA,NA,NA,FALSE,1360.5999789170742,FALSE
4,1,w000,0,0.12,0,9.378973960876465,0,0.2988702952861786,FALSE,27.13182767622665,TRUE,247.902933633899,FALSE,FALSE,1360.5999789170742,FALSE
4,1.25,w000,0.15685077667236327,0.69,11.420644760131836,16.960134506225586,0.14918826520442963,0.3614022433757782,TRUE,NA,NA,NA,NA,FALSE,1360.5999789170742,FALSE
4,1.5,w000,0.4714835739135742,1.22,11.420644760131836,16.960134506225586,0.14915305376052856,0.3614022433757782,TRUE,345.5182285019511,FALSE,345.5182285019511,FALSE,FALSE,1360.5999789170742,FALSE
