parcel_id,slr_m,depth_m
1,0,0
1,0.25,0
1,0.5,0
1,0.75,0
1,1,0
1,1.25,0
1,1.5,0
1,1.75,0
1,2,0
1,5,2.193665771484375
2,0,0
2,0.25,0
2,0.5,0
2,0.75,0
2,1,0
2,1.25,0.0854514217376709
2,1.5,0.5638584518432617
2,1.75,0.7838584136962891
2,2,0.995451431274414
2,5,3.835451354980469
3,0,0
3,0.25,0.18026439666748048
3,0.5,0.0830594253540039
3,0.75,0.30965045928955076
3,1,0.38017093658447265
3,1.25,0.9170738220214844
3,1.5,1.436241455078125
3,1.75,1.5469541931152344
3,2,1.8069541931152344
3,5,3.612646484375
4,0,0
4,0.25,0
4,0.5,0
4,0.75,0.05709763050079346
4,1,0.14221797943115233
4,1.25,0.7034937286376953
4,1.5,1.2305770111083985
4,1.75,1.283713836669922
4,2,1.5248672485351562
4,5,3.738966369628906
5,0,0
5,0.25,0.18026439666748048
5,0.5,0.0830594253540039
5,0.75,0.30965045928955076
5,1,0.38017093658447265
5,1.25,0.9170738220214844
5,1.5,1.436241455078125
5,1.75,1.5469541931152344
5,2,1.8069541931152344
5,5,3.612646484375
6,0,0
6,0.25,0
6,0.5,0
6,0.75,0
6,1,0.030501127243041992
6,1.25,0.40039390563964844
6,1.5,0.7405010986328125
6,1.75,1.0205010986328125
6,2,1.2996237182617187
6,5,4.053642272949219
7,0,0
7,0.25,0
7,0.5,0
7,0.75,0
7,1,0
7,1.25,0.08147759437561035
7,1.5,0.6014955139160156
7,1.75,0.7614955139160157
7,2,0.9211240386962891
7,5,3.771120910644531
8,0,0
8,0.25,0
8,0.5,0
8,0.75,0
8,1,0.01
8,1.25,0.43
8,1.5,0.8885430908203125
8,1.75,1.163143081665039
8,2,1.3831430053710938
8,5,4.007284545898438
9,0,0
9,0.25,0.18026439666748048
9,0.5,0.0830594253540039
9,0.75,0.30965045928955076
9,1,0.38017093658447265
9,1.25,0.9170738220214844
9,1.5,1.436241455078125
9,1.75,1.5469541931152344
9,2,1.8069541931152344
9,5,3.612646484375
10,0,0.13
10,0.25,0
10,0.5,0
10,0.75,0.07
10,1,0.18087564468383788
10,1.25,0.659899673461914
10,1.5,1.141444091796875
10,1.75,1.19
10,2,1.49994140625
10,5,4.101444091796875
11,0,0.13
11,0.25,0
11,0.5,0
11,0.75,0.07
11,1,0.18087564468383788
11,1.25,0.659899673461914
11,1.5,1.141444091796875
11,1.75,1.19
11,2,1.49994140625
11,5,4.101444091796875
12,0,0
12,0.25,0
12,0.5,0
12,0.75,0
12,1,0
12,1.25,0.06
12,1.5,0.59
12,1.75,0.7411319732666015
12,2,0.9
12,5,3.74065673828125
13,0,0
13,0.25,0
13,0.5,0
13,0.75,0
13,1,0
13,1.25,0.4719683074951172
13,1.5,1.027016372680664
13,1.75,1.067016372680664
13,2,1.3011111450195312
13,5,3.31115478515625
14,0,0.024254796504974366
14,0.25,0
14,0.5,0
14,0.75,0
14,1,0
14,1.25,0.44321956634521487
14,1.5,0.9728321075439453
14,1.75,1.076128921508789
14,2,1.2735745239257812
14,5,3.962994384765625
15,0,0
15,0.25,0
15,0.5,0
15,0.75,0
15,1,0
15,1.25,0.11262225151062012
15,1.5,0.5846171951293946
15,1.75,0.7970486450195312
15,2,1.0070486450195313
15,5,3.8628555297851563
16,0,0.37533729553222656
16,0.25,0.0418670129776001
16,0.5,0.04090966701507568
16,0.75,0.0957279109954834
16,1,0.17572790145874023
16,1.25,0.7154395294189453
16,1.5,1.265955352783203
16,1.75,1.355860595703125
