parcel_id,property_id,slr_m,storm,scenario,depth_m,duration_hr,flooded,source
83,e313959d66f6c9b225346c79eefd5ead,0.25,100-yr,SLR=0.2m | 100-yr,0.13,7.50985050201416,FALSE,CoSMoS
99,56520faaa42881bdc6a324b7a5e2502f,0.25,100-yr,SLR=0.2m | 100-yr,0.14,4.542489528656006,FALSE,CoSMoS
101,7154de47f0001ba146ad1ae5a62ee863,0.25,100-yr,SLR=0.2m | 100-yr,0.59,5.437198638916016,TRUE,CoSMoS
102,0d7b8f794fa3082a7c03026dec856247,0.25,100-yr,SLR=0.2m | 100-yr,0.59,5.437198638916016,TRUE,CoSMoS
105,ae410f3f37648dc35b771f5aab1e56d4,0.25,100-yr,SLR=0.2m | 100-yr,0.52,1.7975685596466064,TRUE,CoSMoS
106,73954a6c37f948edfa2617a91452cf8d,0.25,100-yr,SLR=0.2m | 100-yr,0.35,3.8778748512268066,TRUE,CoSMoS
108,a084010d87e39dd79f2dabdd6931549a,0.25,100-yr,SLR=0.2m | 100-yr,0.25,5.43583345413208,TRUE,CoSMoS
109,330d0a0121adcdb385166b1fa14e3cec,0.25,100-yr,SLR=0.2m | 100-yr,0.16,6.536723613739014,TRUE,CoSMoS
110,104937a524980ecc2f672d7a542309ce,0.25,100-yr,SLR=0.2m | 100-yr,0.37,8.025915145874023,TRUE,CoSMoS
3,10e5c14b3b247bc4b07bb5b8fe680915,0.5,100-yr,SLR=0.5m | 100-yr,0.07,8.055525779724121,FALSE,CoSMoS
7,41677f225fa7418f32714a2a094c1244,0.5,100-yr,SLR=0.5m | 100-yr,0.07,8.055525779724121,FALSE,CoSMoS
14,0f956c6f09175e6f22794d56a759228a,0.5,100-yr,SLR=0.5m | 100-yr,0.04,1.7978030443191528,FALSE,CoSMoS
21,7df87557da5a77296076ccb323bd5592,0.5,100-yr,SLR=0.5m | 100-yr,0.17,8.188736915588379,TRUE,CoSMoS
27,9c30fbdf740c818d20ede323c68ed454,0.5,100-yr,SLR=0.5m | 100-yr,0.92,4.4336700439453125,TRUE,CoSMoS
30,f1685fa53e41991840a9cff8105898a0,0.5,100-yr,SLR=0.5m | 100-yr,0.07,8.055525779724121,FALSE,CoSMoS
31,bc49f4578caf3d4c87244cc6fc1432ac,0.5,100-yr,SLR=0.5m | 100-yr,0.07,8.055525779724121,FALSE,CoSMoS
34,43cf192f76f781c71d1f0a86691b4b36,0.5,100-yr,SLR=0.5m | 100-yr,0.07,8.055525779724121,FALSE,CoSMoS
76,16e7c6a3126e8054624d86ca0fffa966,0.5,100-yr,SLR=0.5m | 100-yr,0.33,13.442732810974121,TRUE,CoSMoS
77,4ca0c29f2b81ba4765ed75f5ea1f4463,0.5,100-yr,SLR=0.5m | 100-yr,0.94,13.905245780944824,TRUE,CoSMoS
81,1e63e1365446d4a9a3a49fb69ae6a743,0.5,100-yr,SLR=0.5m | 100-yr,0.22,4.134500980377197,TRUE,CoSMoS
82,ec9891763c8b3865fe1cb0aef7d8808e,0.5,100-yr,SLR=0.5m | 100-yr,0.16,6.161003589630127,TRUE,CoSMoS
83,e313959d66f6c9b225346c79eefd5ead,0.5,100-yr,SLR=0.5m | 100-yr,0.24,7.50985050201416,TRUE,CoSMoS
93,bbf6fc2a9aec00a3780ed5c5d4db6759,0.5,100-yr,SLR=0.5m | 100-yr,0.01,7.695159435272217,FALSE,CoSMoS
98,15a54683d8a643d8f5cc47a2d8c7e936,0.5,100-yr,SLR=0.5m | 100-yr,0.08,4.432604789733887,FALSE,CoSMoS
99,56520faaa42881bdc6a324b7a5e2502f,0.5,100-yr,SLR=0.5m | 100-yr,0.22,4.542489528656006,TRUE,CoSMoS
101,7154de47f0001ba146ad1ae5a62ee863,0.5,100-yr,SLR=0.5m | 100-yr,0.53,5.437198638916016,TRUE,CoSMoS
102,0d7b8f794fa3082a7c03026dec856247,0.5,100-yr,SLR=0.5m | 100-yr,0.53,5.437198638916016,TRUE,CoSMoS
