parcel_id,scenario,cliff_scenario,retreat_year,mc_enabled,mc_n_sims,mc_mean_year,mc_median_year,mc_sd_year,mc_q05_year,mc_q25_year,mc_q75_year,mc_q95_year,mc_range_years,retreat_trigger,timing_category,cliff_exposure_status,initial_cliff_dist_m,parameter_set,rental_yield,discount_rate,damage_threshold,owner_utility,ADDRESS,PRICE,strval,landval,LATITUDE,LONGITUDE,rent,npv_rent,buyout_uncapped,buyout_price
24,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1345.3318095569457,baseline,0.05,0.02,0.15,0,4950 Sandyland Rd #229,763093,372389.384,390703.616,34.394428,-119.525032,38154.65,NA,NA,NA
25,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1582.9485035376936,baseline,0.05,0.02,0.15,0,4700 Sandyland Rd #16,720969,351832.872,369136.128,34.395661,-119.527155,36048.450000000004,NA,NA,NA
26,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1620.758245709627,baseline,0.05,0.02,0.15,0,4700 Sandyland Rd #35,1014287,494972.056,519314.944,34.395816,-119.527522,50714.350000000006,NA,NA,NA
27,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1759.9326560871334,baseline,0.05,0.02,0.15,0,4595 Avenue Del Mar,12500000,6100000,6400000,34.395382,-119.529523,625000,NA,NA,NA
28,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1345.3318095569457,baseline,0.05,0.02,0.15,0,4950 Sandyland Rd #223,777436,379388.768,398047.232,34.394428,-119.525032,38871.8,NA,NA,NA
29,Intermediate,NA,81,TRUE,100,80.96,81,0.19694638556693236,81,81,81,81,0,no_retreat,no_retreat,safe,1519.0965870293046,baseline,0.05,0.02,0.15,0,4815 Sandyland Rd #A,3965000,1934920,2030080,34.3948611,-119.5269026,198250,NA,NA,NA
30,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2829.6237895756512,baseline,0.05,0.02,0.15,0,607 Sand Point Rd,23000000,11224000,11776000,34.3994895,-119.5400456,1150000,NA,NA,NA
31,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2208.296868280612,baseline,0.05,0.02,0.15,0,4315 Del Mar Ave,8000000,3904000,4096000,34.3967051,-119.5341613,400000,NA,NA,NA
32,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1326.6029286408466,baseline,0.05,0.02,0.15,0,4975 Sandyland Rd #109,3200000,1561600,1638400,34.393902,-119.525147,160000,NA,NA,NA
33,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1326.6029286408466,baseline,0.05,0.02,0.15,0,4975 Sandyland Rd #206,1350000,658800,691200,34.393902,-119.525147,67500,NA,NA,NA
34,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1345.3318095569457,baseline,0.05,0.02,0.15,0,4950 Sandyland Rd #230,752938,367433.744,385504.256,34.394428,-119.525032,37646.9,NA,NA,NA
35,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1633.8078777675569,baseline,0.05,0.02,0.15,0,4755 Sandyland Rd #6,1170000,570960,599040,34.395378,-119.5279833,58500,NA,NA,NA
36,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1326.6029286408466,baseline,0.05,0.02,0.15,0,4975 Sandyland Rd #210,1527500,745420,782080,34.393902,-119.525147,76375,NA,NA,NA
37,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1498.8012505220606,baseline,0.05,0.02,0.15,0,4825 Sandyland Rd #4,2354892,1149187.296,1205704.704,34.394747,-119.526726,117744.6,NA,NA,NA
38,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1484.5975072783024,baseline,0.05,0.02,0.15,0,4825 Sandyland Rd #7,958456,467726.528,490729.472,34.3948,-119.526516,47922.8,NA,NA,NA
39,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1486.28679224466,baseline,0.05,0.02,0.15,0,4825 Sandyland Rd #8,952313,464728.744,487584.256,34.394714,-119.526593,47615.65,NA,NA,NA
40,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1425.4480035213696,baseline,0.05,0.02,0.15,0,4880 Sandyland Apt 12 Rd,773760,416224.5791367959,357535.4208632041,34.394871,-119.525729,38688,NA,NA,NA
41,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3753.532189218932,baseline,0.05,0.02,0.15,0,879 Sand Point Rd,5250000,2824104.425749817,2425895.574250183,34.4055391,-119.5475253,262500,NA,NA,NA
42,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3734.505588610704,baseline,0.05,0.02,0.15,0,877 Sand Point Rd,4219780,2059252.6400000001,2160527.36,34.4053383,-119.5474274,210989,NA,NA,NA
43,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3663.716618945424,baseline,0.05,0.02,0.15,0,871 Sand Point Rd,4700000,2293600,2406400,34.4047826,-119.5469257,235000,NA,NA,NA
44,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3633.9642958125464,baseline,0.05,0.02,0.15,0,869 Sand Point Rd,8650000,4221200,4428800,34.4045559,-119.5467092,432500,NA,NA,NA
45,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3587.358677959856,baseline,0.05,0.02,0.15,0,863 Sand Point Rd,1450487,707837.656,742649.344,34.4050479,-119.5457756,72524.35,NA,NA,NA
46,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3566.4192047718693,baseline,0.05,0.02,0.15,0,845 Sand Point Rd,6100000,2976800,3123200,34.4045688,-119.5458531,305000,NA,NA,NA
47,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3540.2965917039323,baseline,0.05,0.02,0.15,0,841 Sand Point Rd,5225000,2549800,2675200,34.4044467,-119.5456102,261250,NA,NA,NA
48,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3505.1614550520544,baseline,0.05,0.02,0.15,0,835 Sand Point Rd,1700000,829600,870400,34.4042248,-119.5453239,85000,NA,NA,NA
49,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3435.714830171943,baseline,0.05,0.02,0.15,0,815 Sand Point Rd,5500000,2684000,2816000,34.4037732,-119.5447663,275000,NA,NA,NA
50,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3390.4247909932105,baseline,0.05,0.02,0.15,0,805 Sand Pt,8835765,4311853.32,4523911.68,34.4034328,-119.5444334,441788.25,NA,NA,NA
51,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3352.1023089187192,baseline,0.05,0.02,0.15,0,791 Sand Point Rd,9725000,4745800,4979200,34.4030894,-119.5441881,486250,NA,NA,NA
52,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3302.6391537942236,baseline,0.05,0.02,0.15,0,775 Sand Point Rd,5135058,2505908.304,2629149.696,34.4027754,-119.5437832,256752.90000000002,NA,NA,NA
53,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3226.509162997705,baseline,0.05,0.02,0.15,0,755 Sand Point Rd,5000000,2440000,2560000,34.4021823,-119.5432306,250000,NA,NA,NA
54,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3199.4377471291177,baseline,0.05,0.02,0.15,0,745 Sand Point Rd,3415000,1666520,1748480,34.4019853,-119.5430241,170750,NA,NA,NA
55,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3180.671314682398,baseline,0.05,0.02,0.15,0,735 Sand Point Rd,5850000,2854800,2995200,34.4019815,-119.542795,292500,NA,NA,NA
56,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3155.9586748215575,baseline,0.05,0.02,0.15,0,721 Sand Point Rd,6172830,3012341.04,3160488.96,34.4018647,-119.5425657,308641.5,NA,NA,NA
57,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3126.040480357554,baseline,0.05,0.02,0.15,0,711 Sand Point Rd,7100000,3464800,3635200,34.4016981,-119.5423044,355000,NA,NA,NA
58,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3072.833974043004,baseline,0.05,0.02,0.15,0,701 Sand Point Rd,7200000,3873057.4981711777,3326942.5018288223,34.4013214,-119.5418909,360000,NA,NA,NA
59,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3043.8522094565124,baseline,0.05,0.02,0.15,0,685 Sand Point Rd,7290000,3557520,3732480,34.4011155,-119.5416655,364500,NA,NA,NA
60,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3012.115378694161,baseline,0.05,0.02,0.15,0,671 Sand Point Rd,2917799,1423885.912,1493913.088,34.4008581,-119.5414381,145889.95,NA,NA,NA
61,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2976.9671037330054,baseline,0.05,0.02,0.15,0,657 Sand Point Rd,7235000,3891884.86100951,3343115.13899049,34.4006401,-119.5411437,361750,NA,NA,NA
62,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2939.0133212210653,baseline,0.05,0.02,0.15,0,645 Sand Point Rd,9100000,4440800,4659200,34.400307,-119.5408851,455000,NA,NA,NA
63,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2901.139777729163,baseline,0.05,0.02,0.15,0,635 Sand Point Rd,3022115,1474792.1199999999,1547322.8800000001,34.4000126,-119.5406023,151105.75,NA,NA,NA
64,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2869.106563156101,baseline,0.05,0.02,0.15,0,625 Sand Point Rd,8500000,4572359.546452085,3927640.453547915,34.399781,-119.5403518,425000,NA,NA,NA
65,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2792.141838144041,baseline,0.05,0.02,0.15,0,591 Sand Point Rd,16250000,7930000,8320000,34.3992475,-119.5397338,812500,NA,NA,NA
66,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2711.485477991543,baseline,0.05,0.02,0.15,0,551 Sand Point Rd,9650000,4709200,4940800,34.3986396,-119.5391096,482500,NA,NA,NA
67,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2674.8435484017828,baseline,0.05,0.02,0.15,0,539 Sand Point Rd,2669068,1302505.184,1366562.816,34.398331,-119.5388418,133453.4,NA,NA,NA
68,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2376.5309742967124,baseline,0.05,0.02,0.15,0,4217 Avenue Del Mar,15614591,7619920.408,7994670.592,34.3967633,-119.53613,780729.55,NA,NA,NA
69,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2348.4955631597772,baseline,0.05,0.02,0.15,0,4237 Del Mar Ave,7120037,3474578.056,3645458.944,34.396784,-119.5357877,356001.85000000003,NA,NA,NA
70,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2324.7965340459923,baseline,0.05,0.02,0.15,0,4257 Avenue Del Mar,14000000,6832000,7168000,34.3967947,-119.5355011,700000,NA,NA,NA
71,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2302.784081245985,baseline,0.05,0.02,0.15,0,4267 Avenue Del Mar,15000000,7320000,7680000,34.3968569,-119.5352062,750000,NA,NA,NA
72,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2265.5367427091023,baseline,0.05,0.02,0.15,0,4271 Del Mar Ave,8481171,4138811.448,4342359.552,34.396586,-119.534908,424058.55000000005,NA,NA,NA
73,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2256.33232189049,baseline,0.05,0.02,0.15,0,4285 Avenue Del Mar,1650000,805200,844800,34.3967894,-119.534689,82500,NA,NA,NA
