parcel_id,scenario,cliff_scenario,retreat_year,T_flood,T_cliff,initial_cliff_dist,cliff_exposure_status,retreat_trigger,timing_category,mc_enabled,mc_n_sims,mc_mean_year,mc_median_year,mc_sd_year,mc_q05_year,mc_q25_year,mc_q75_year,mc_q95_year,mc_range_years,parameter_set,rental_yield,discount_rate,damage_threshold,ADDRESS,PRICE,strval,landval,elevation,LATITUDE,LONGITUDE,rent,npv_rent_to_tstar,buyout_price_uncapped,buyout_price,buyout_capped,buyout_market_100pct,buyout_savings_pct,buyout_savings_dollars,gov_rent_collected,gov_land_recovered,gov_net_cost,gov_outcome
15,Intermediate,LetItGo,68,81,68,15.399011212267828,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,68,68,0,68,68,68,68,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6525 Del Playa Dr,2373500,1362389,1011111,15.77,34.4089332,-119.854919,118675,5112624.768517366,6123735.768517366,2373500,TRUE,2373500,0,0,5112624.768517366,1011111,-3750235.7685173657,profit
16,Intermediate,LetItGo,81,81,81,24.82136087522993,within_retreat_threshold,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6517 Del Playa Dr,1746722,1002618.4280000001,744103.5719999999,16.31,34.408951,-119.8545574,87336.1,NA,NA,NA,NA,NA,NA,NA,NA,744103.5719999999,NA,NA
17,Intermediate,LetItGo,81,81,81,18.009852763624362,within_retreat_threshold,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6515 Del Playa Dr,1742964,1000461.336,742502.664,16.28,34.4088722,-119.854475,87148.20000000001,NA,NA,NA,NA,NA,NA,NA,NA,742502.664,NA,NA
18,Intermediate,LetItGo,81,81,81,19.520708391059312,within_retreat_threshold,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6513 Del Playa Dr,1860913,1068164.062,792748.938,16.34,34.4088681,-119.8543878,93045.65000000001,NA,NA,NA,NA,NA,NA,NA,NA,792748.938,NA,NA
19,Intermediate,LetItGo,44,81,44,12.91164170284407,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,44,44,0,44,44,44,44,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6551 Del Playa Dr,2160000,1239840,920160,13.68,34.4092064,-119.8563741,108000,3512293.009359462,4432453.009359462,2160000,TRUE,2160000,0,0,3512293.009359462,920160,-2272453.009359462,profit
20,Intermediate,LetItGo,1,81,1,9.35518769552196,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6553 Del Playa Dr,1025000,588350,436650,13.85,34.4091905,-119.856455,51250,51250,487900,487900,FALSE,1025000,52.400000000000006,537100,51250,436650,0,break_even
21,Intermediate,LetItGo,1,81,1,5.942582042202202,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6563 Del Playa Dr,930731,534239.594,396491.406,14.77,34.409129,-119.857067,46536.55,46536.55,443027.956,443027.956,FALSE,930731,52.400000000000006,487703.044,46536.55,396491.406,0,break_even
22,Intermediate,LetItGo,1,81,1,5.269315090298871,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6567 Del Playa Dr,2131710,1223601.54,908108.46,15.3,34.409149,-119.857234,106585.5,106585.5,1014693.96,1014693.96,FALSE,2131710,52.400000000000006,1117016.04,106585.5,908108.46,0,break_even
23,Intermediate,LetItGo,42,81,42,12.905084114443609,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,42,42,0,42,42,42,42,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6569 Del Playa Dr,2227123,1278368.602,948754.3979999999,14.92,34.4093175,-119.857281,111356.15000000001,3503148.756830396,4451903.154830396,2227123,TRUE,2227123,0,0,3503148.756830396,948754.3979999999,-2224780.154830396,profit
24,Intermediate,LetItGo,1,81,1,4.476292977583279,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6571 Del Playa Dr,1350000,774900,575100,15.62,34.409171,-119.857412,67500,67500,642600,642600,FALSE,1350000,52.400000000000006,707400,67500,575100,0,break_even
25,Intermediate,LetItGo,42,81,42,12.938071890466729,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,42,42,0,42,42,42,42,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6581 Del Playa Dr,1355540,729178.3834820775,626361.6165179225,14.62,34.4093587,-119.8578364,67777,2132193.985619059,2758555.602136981,1355540,TRUE,1355540,0,0,2132193.985619059,626361.6165179225,-1403015.6021369812,profit
26,Intermediate,LetItGo,54,81,54,17.108857866280935,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,54,54,0,54,54,54,54,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6583 Del Playa,2006072,1151485.328,854586.672,14.52,34.4093978,-119.8579026,100303.6,3749649.167623157,4604235.839623157,2006072,TRUE,2006072,0,0,3749649.167623157,854586.672,-2598163.839623157,profit
27,Intermediate,LetItGo,66,81,66,21.258722807498945,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,66,66,0,66,66,66,66,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6585 Del Playa Dr,2053162,1178514.988,874647.012,14.43,34.4094368,-119.8579727,102658.1,4346316.687755867,5220963.699755867,2053162,TRUE,2053162,0,0,4346316.687755867,874647.012,-3167801.699755867,profit
28,Intermediate,LetItGo,1,81,1,5.451812313301623,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6597 Del Playa Dr,1537500,882525,654975,14.41,34.4093047,-119.8584297,76875,76875,731850,731850,FALSE,1537500,52.400000000000006,805650,76875,654975,0,break_even
29,Intermediate,LetItGo,74,81,74,24.471321866277005,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,74,74,0,74,74,74,74,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6599 Del Playa Dr,2313923,1328191.8020000001,985731.198,14.37,34.4094806,-119.8586259,115696.15000000001,5227376.242345545,6213107.440345545,2313923,TRUE,2313923,0,0,5227376.242345545,985731.198,-3899184.4403455453,profit
30,Intermediate,LetItGo,51,81,51,15.827527259112982,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,51,51,0,51,51,51,51,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6607 Del Playa Dr,2202360,1264154.6400000001,938205.36,14.18,34.4094266,-119.8590954,110118,3964213.6512848297,4902419.01128483,2202360,TRUE,2202360,0,0,3964213.6512848297,938205.36,-2700059.0112848296,profit
31,Intermediate,LetItGo,1,81,1,2.4085183512379844,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6637 Del Playa Dr,1750000,1004500,745500,14.45,34.409367,-119.860061,87500,87500,833000,833000,FALSE,1750000,52.400000000000006,917000,87500,745500,0,break_even
32,Intermediate,LetItGo,66,81,66,20.4235630481675,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,66,66,0,66,66,66,66,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6641 Del Playa Dr,1200000,645509.5830285297,554490.4169714703,14.05,34.4095316,-119.8602419,60000,2540267.1709816568,3094757.587953127,1200000,TRUE,1200000,0,0,2540267.1709816568,554490.4169714703,-1894757.587953127,profit
33,Intermediate,LetItGo,62,81,62,18.79630699250489,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,62,62,0,62,62,62,62,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6643 Del Playa Dr,1525000,875350,649650,14.02,34.409518,-119.8603273,76250,3109743.105918636,3759393.105918636,1525000,TRUE,1525000,0,0,3109743.105918636,649650,-2234393.105918636,profit
34,Intermediate,LetItGo,1,81,1,4.558170300226076,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6647 Del Playa Dr,2595425,1489773.95,1105651.05,13.85,34.4093939,-119.8606651,129771.25,129771.25,1235422.3,1235422.3,FALSE,2595425,52.400000000000006,1360002.7,129771.25,1105651.05,0,break_even
35,Intermediate,LetItGo,46,81,46,13.505663179666488,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,46,46,0,46,46,46,46,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6665 Del Playa,1925919,1105477.506,820441.494,13.35,34.4095327,-119.8614173,96295.95000000001,3230954.1831765757,4051395.6771765756,1925919,TRUE,1925919,0,0,3230954.1831765757,820441.494,-2125476.6771765756,profit
36,Intermediate,LetItGo,54,81,54,19.147763974162455,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,54,54,0,54,54,54,54,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6707 Del Playa Dr,1430966,821374.484,609591.516,8.24,34.4096071,-119.862909,71548.3,2674689.8769321535,3284281.3929321533,1430966,TRUE,1430966,0,0,2674689.8769321535,609591.516,-1853315.3929321533,profit
37,Intermediate,LetItGo,43,81,43,14.222151872244996,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,43,43,0,43,43,43,43,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6705 Del Playa Dr,1129436,648296.264,481139.736,8.15,34.4095721,-119.8628186,56471.8,1806761.5951429151,2287901.331142915,1129436,TRUE,1129436,0,0,1806761.5951429151,481139.736,-1158465.3311429152,profit
38,Intermediate,LetItGo,42,81,42,13.63254738103031,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,42,42,0,42,42,42,42,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6701 Del Playa Dr,1759545,1009978.8300000001,749566.1699999999,8.21,34.4095765,-119.8627282,87977.25,2767672.858363521,3517239.0283635207,1759545,TRUE,1759545,0,0,2767672.858363521,749566.1699999999,-1757694.0283635207,profit
39,Intermediate,LetItGo,51,81,51,17.925692133300036,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,51,51,0,51,51,51,51,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6709 Del Playa Dr Unit A,1447825,831051.55,616773.45,8.16,34.4095792,-119.8630646,72391.25,2606062.419255462,3222835.8692554617,1447825,TRUE,1447825,0,0,2606062.419255462,616773.45,-1775010.869255462,profit
40,Intermediate,LetItGo,39,81,39,12.199792332014397,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,39,39,0,39,39,39,39,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6745-6747 Del Playa Dr,2600000,1492400,1107600,7.6,34.409459,-119.8644572,130000,3874656.7113112053,4982256.711311205,2600000,TRUE,2600000,0,0,3874656.7113112053,1107600,-2382256.7113112053,profit
41,Intermediate,LetItGo,1,81,1,0.6619785754673739,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6743 Del Playa Dr,2004412,1150532.488,853879.512,7.4,34.409356,-119.864426,100220.6,100220.6,954100.112,954100.112,FALSE,2004412,52.400000000000006,1050311.888,100220.6,853879.512,0,break_even
42,Intermediate,LetItGo,56,81,56,20.178966478290302,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,56,56,0,56,56,56,56,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6769 Del Playa Dr,955000,548170,406830,7.45,34.4095002,-119.8653726,47750,1827462.5403312892,2234292.540331289,955000,TRUE,955000,0,0,1827462.5403312892,406830,-1279292.5403312892,profit
43,Intermediate,LetItGo,52,81,52,17.273004593170487,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,52,52,0,52,52,52,52,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6823 Del Playa Dr,1423368,817013.232,606354.768,7.38,34.4094728,-119.8673071,71168.40000000001,2595345.93763025,3201700.7056302503,1423368,TRUE,1423368,0,0,2595345.93763025,606354.768,-1778332.7056302503,profit
44,Intermediate,LetItGo,58,81,58,19.438323900348124,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,58,58,0,58,58,58,58,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6827 Del Playa Dr,1443682,828673.468,615008.532,7.34,34.4094892,-119.8674406,72184.1,2824843.2269792585,3439851.7589792586,1443682,TRUE,1443682,0,0,2824843.2269792585,615008.532,-1996169.7589792586,profit
45,Intermediate,LetItGo,79,81,79,39.34462052625822,safe,cliff_planned_retreat,late,FALSE,0,79,79,0,79,79,79,79,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6851 Del Playa Dr,2041350,1171734.9,869615.1,7.38,34.4096903,-119.8681638,102067.5,4776247.1158464635,5645862.215846463,2041350,TRUE,2041350,0,0,4776247.1158464635,869615.1,-3604512.2158464636,profit
46,Intermediate,LetItGo,75,81,75,22.455134348431997,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,75,75,0,75,75,75,75,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6855 Del Playa Dr,1382709,793674.966,589034.034,7.3,34.409541,-119.86825,69135.45,3146646.381338567,3735680.415338567,1382709,TRUE,1382709,0,0,3146646.381338567,589034.034,-2352971.415338567,profit
47,Intermediate,LetItGo,61,81,61,16.85548918816727,within_retreat_threshold,cliff_erosion_ongoing,late,FALSE,0,61,61,0,61,61,61,61,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6865 Del Playa,1670398,958808.452,711589.548,7.24,34.4095028,-119.8686006,83519.90000000001,3372556.0192769715,4084145.5672769714,1670398,TRUE,1670398,0,0,3372556.0192769715,711589.548,-2413747.5672769714,profit
