parameter_set,scenario,cliff_scenario,rental_yield,discount_rate,damage_threshold,n_properties,mean_retreat_year,median_retreat_year,n_immediate,n_early,n_mid,n_late,n_no_retreat,total_buyout_M,total_market_M,gov_net_cost_M,n_capped,n_gov_profit
y0.05_d0.030_t0.15_HoldTheLine,Intermediate_High,HoldTheLine,0.05,0.03,0.15,50,35.52777777777778,40.5,9,0,19,8,14,52.198640328,60.210484,-30.76023964499604,27,27
y0.05_d0.030_t0.15_LetItGo,High,LetItGo,0.05,0.03,0.15,50,31.622222222222224,34,10,1,28,6,5,68.735162328,77.284106,-35.66096324446857,35,35
y0.05_d0.030_t0.15_LetItGo,Intermediate,LetItGo,0.05,0.03,0.15,50,41.12820512820513,46,10,0,10,19,11,59.046182328,67.595126,-40.17709796199363,29,29
y0.05_d0.030_t0.15_LetItGo,Intermediate_High,LetItGo,0.05,0.03,0.15,50,35.06976744186046,39,10,0,23,10,7,64.837162328,73.386106,-37.752382724982844,33,33
y0.06_d0.020_t0.15_HoldTheLine,High,HoldTheLine,0.06,0.02,0.15,50,33.53846153846154,35,9,1,23,6,11,57.996260108,65.855206,-57.44640571372657,30,30
y0.06_d0.020_t0.15_HoldTheLine,Intermediate,HoldTheLine,0.06,0.02,0.15,50,41.696969696969695,51,9,0,6,18,17,48.564435108000005,56.423381,-60.763168530023634,24,24
y0.06_d0.020_t0.15_HoldTheLine,Intermediate_High,HoldTheLine,0.06,0.02,0.15,50,35.52777777777778,40.5,9,0,19,8,14,52.351538108,60.210484,-55.54809549427389,27,27
y0.06_d0.020_t0.15_LetItGo,High,LetItGo,0.06,0.02,0.15,50,31.622222222222224,34,10,1,28,6,5,68.89831010799999,77.284106,-64.7982766535852,35,35
y0.06_d0.020_t0.15_LetItGo,Intermediate,LetItGo,0.06,0.02,0.15,50,41.12820512820513,46,10,0,10,19,11,59.209330108,67.595126,-73.12803171158241,29,29
y0.06_d0.020_t0.15_LetItGo,Intermediate_High,LetItGo,0.06,0.02,0.15,50,35.06976744186046,39,10,0,23,10,7,65.00031010800001,73.386106,-68.19130855791227,33,33
