parcel_id,slr_m,scenario,cliff_dist_m,cliff_exposed_10m,cliff_exposed_25m,cliff_exposed_50m,cliff_exposed_100m,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,annual_rental_income,monthly_rental_income,rentalval,rentalval_note,elevation,distance_to_coast_meters,distance_to_coast_km,median_ageE,whiteE,blackE,asianE,hispanicE,median_incomeE,educationE,unemploymentE,hazard_type,property_id
2,0.5,HoldTheLine,90.5048459425064,FALSE,FALSE,FALSE,TRUE,PAST SALE,April-11-2025,Multi-Family (2-4 Unit),6749 Sabado Tarde Rd,Goleta,CA,93117,3002000,8,4,SB/GOL SOUTH,NA,10018,1965,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Goleta/6749-Sabado-Tarde-Rd-93117/home/21574953,SBMLS,25-1442,N,Y,34.410106,-119.8643772,"6749 Sabado Tarde Rd, Goleta, CA",150100,12508.333333333334,12508.333333333334,baseline_5pct,8.49,110.28950617090268,0.11028950617090268,21.3,2436,77,457,470,33325,111,348,bluff,900ba6495b4a0011001ae6b3bade2992
2,0.75,HoldTheLine,88.37336520117108,FALSE,FALSE,FALSE,TRUE,PAST SALE,April-11-2025,Multi-Family (2-4 Unit),6749 Sabado Tarde Rd,Goleta,CA,93117,3002000,8,4,SB/GOL SOUTH,NA,10018,1965,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Goleta/6749-Sabado-Tarde-Rd-93117/home/21574953,SBMLS,25-1442,N,Y,34.410106,-119.8643772,"6749 Sabado Tarde Rd, Goleta, CA",150100,12508.333333333334,12508.333333333334,baseline_5pct,8.49,110.28950617090268,0.11028950617090268,21.3,2436,77,457,470,33325,111,348,bluff,900ba6495b4a0011001ae6b3bade2992
2,1,HoldTheLine,86.0461623312877,FALSE,FALSE,FALSE,TRUE,PAST SALE,April-11-2025,Multi-Family (2-4 Unit),6749 Sabado Tarde Rd,Goleta,CA,93117,3002000,8,4,SB/GOL SOUTH,NA,10018,1965,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Goleta/6749-Sabado-Tarde-Rd-93117/home/21574953,SBMLS,25-1442,N,Y,34.410106,-119.8643772,"6749 Sabado Tarde Rd, Goleta, CA",150100,12508.333333333334,12508.333333333334,baseline_5pct,8.49,110.28950617090268,0.11028950617090268,21.3,2436,77,457,470,33325,111,348,bluff,900ba6495b4a0011001ae6b3bade2992
2,1.25,HoldTheLine,84.81320789190637,FALSE,FALSE,FALSE,TRUE,PAST SALE,April-11-2025,Multi-Family (2-4 Unit),6749 Sabado Tarde Rd,Goleta,CA,93117,3002000,8,4,SB/GOL SOUTH,NA,10018,1965,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Goleta/6749-Sabado-Tarde-Rd-93117/home/21574953,SBMLS,25-1442,N,Y,34.410106,-119.8643772,"6749 Sabado Tarde Rd, Goleta, CA",150100,12508.333333333334,12508.333333333334,baseline_5pct,8.49,110.28950617090268,0.11028950617090268,21.3,2436,77,457,470,33325,111,348,bluff,900ba6495b4a0011001ae6b3bade2992
2,1.5,HoldTheLine,82.84486703970153,FALSE,FALSE,FALSE,TRUE,PAST SALE,April-11-2025,Multi-Family (2-4 Unit),6749 Sabado Tarde Rd,Goleta,CA,93117,3002000,8,4,SB/GOL SOUTH,NA,10018,1965,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Goleta/6749-Sabado-Tarde-Rd-93117/home/21574953,SBMLS,25-1442,N,Y,34.410106,-119.8643772,"6749 Sabado Tarde Rd, Goleta, CA",150100,12508.333333333334,12508.333333333334,baseline_5pct,8.49,110.28950617090268,0.11028950617090268,21.3,2436,77,457,470,33325,111,348,bluff,900ba6495b4a0011001ae6b3bade2992
2,1.75,HoldTheLine,81.35893407126332,FALSE,FALSE,FALSE,TRUE,PAST SALE,April-11-2025,Multi-Family (2-4 Unit),6749 Sabado Tarde Rd,Goleta,CA,93117,3002000,8,4,SB/GOL SOUTH,NA,10018,1965,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Goleta/6749-Sabado-Tarde-Rd-93117/home/21574953,SBMLS,25-1442,N,Y,34.410106,-119.8643772,"6749 Sabado Tarde Rd, Goleta, CA",150100,12508.333333333334,12508.333333333334,baseline_5pct,8.49,110.28950617090268,0.11028950617090268,21.3,2436,77,457,470,33325,111,348,bluff,900ba6495b4a0011001ae6b3bade2992
2,2,HoldTheLine,79.04706158768114,FALSE,FALSE,FALSE,TRUE,PAST SALE,April-11-2025,Multi-Family (2-4 Unit),6749 Sabado Tarde Rd,Goleta,CA,93117,3002000,8,4,SB/GOL SOUTH,NA,10018,1965,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Goleta/6749-Sabado-Tarde-Rd-93117/home/21574953,SBMLS,25-1442,N,Y,34.410106,-119.8643772,"6749 Sabado Tarde Rd, Goleta, CA",150100,12508.333333333334,12508.333333333334,baseline_5pct,8.49,110.28950617090268,0.11028950617090268,21.3,2436,77,457,470,33325,111,348,bluff,900ba6495b4a0011001ae6b3bade2992
2,5,HoldTheLine,57.04632972829153,FALSE,FALSE,FALSE,TRUE,PAST SALE,April-11-2025,Multi-Family (2-4 Unit),6749 Sabado Tarde Rd,Goleta,CA,93117,3002000,8,4,SB/GOL SOUTH,NA,10018,1965,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Goleta/6749-Sabado-Tarde-Rd-93117/home/21574953,SBMLS,25-1442,N,Y,34.410106,-119.8643772,"6749 Sabado Tarde Rd, Goleta, CA",150100,12508.333333333334,12508.333333333334,baseline_5pct,8.49,110.28950617090268,0.11028950617090268,21.3,2436,77,457,470,33325,111,348,bluff,900ba6495b4a0011001ae6b3bade2992
3,0.25,HoldTheLine,71.3421093692583,FALSE,FALSE,FALSE,TRUE,PAST SALE,October-24-2025,Multi-Family (2-4 Unit),6622 Del Playa Dr,Goleta,CA,93117,2950000,9,5,SB/GOL SOUTH,NA,4792,1958,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Goleta/6622-Del-Playa-Dr-93117/home/21574443,SBMLS,25-3292,N,Y,34.4099714,-119.8596841,"6622 Del Playa Dr, Goleta, CA",147500,12291.666666666666,12291.666666666666,baseline_5pct,13.93,123.59584204691744,0.12359584204691744,20.9,2753,306,702,1082,19167,139,292,bluff,900ba6495b4a0011001ae6b3bade2992
3,0.5,HoldTheLine,64.27458109500579,FALSE,FALSE,FALSE,TRUE,PAST SALE,October-24-2025,Multi-Family (2-4 Unit),6622 Del Playa Dr,Goleta,CA,93117,2950000,9,5,SB/GOL SOUTH,NA,4792,1958,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Goleta/6622-Del-Playa-Dr-93117/home/21574443,SBMLS,25-3292,N,Y,34.4099714,-119.8596841,"6622 Del Playa Dr, Goleta, CA",147500,12291.666666666666,12291.666666666666,baseline_5pct,13.93,123.59584204691744,0.12359584204691744,20.9,2753,306,702,1082,19167,139,292,bluff,900ba6495b4a0011001ae6b3bade2992
