parcel_id,slr_m,depth_m
1,0,0
1,0.25,0
1,0.5,0
1,1,0
1,1.5,0
1,1.75,0.3065289258956909
1,2,0.7058340907096863
2,0,0
2,0.25,0
2,0.5,0
2,1,0
2,1.5,0
2,1.75,0
2,2,0
3,0,0
3,0.25,0
3,0.5,0
3,1,0
3,1.5,0
3,1.75,0.06610853970050812
3,2,0
4,0,0
4,0.25,0
4,0.5,0
4,1,0
4,1.5,0.7795372009277344
4,1.75,0.7306444048881531
4,2,0.6503521203994751
5,0,0
5,0.25,0.8849686980247498
5,0.5,1.5011924505233765
5,1,1.4256622791290283
5,1.5,2.4116554260253906
5,1.75,2.758007764816284
5,2,2.991802930831909
6,0,0
6,0.25,0
6,0.5,0
6,1,0
6,1.5,0.31867530941963196
6,1.75,0.5887880921363831
6,2,0.7743258476257324
7,0,0
7,0.25,0
7,0.5,0
7,1,0
7,1.5,2.752903461456299
7,1.75,1.6172130107879639
7,2,2.228039026260376
8,0,0
8,0.25,0.04350307956337929
8,0.5,0.3172975480556488
8,1,0.34740039706230164
8,1.5,1.0176092386245728
8,1.75,1.3368821144104004
8,2,1.4202885627746582
9,0,0
9,0.25,0
9,0.5,0
9,1,0
9,1.5,1.6454849243164062
9,1.75,0
9,2,0.9497995972633362
10,0,0
10,0.25,0
10,0.5,0
10,1,0
10,1.5,0
10,1.75,0
10,2,0
11,0,0
11,0.25,0
11,0.5,0
11,1,0
11,1.5,2.887850046157837
11,1.75,1.2419832944869995
11,2,2.184504985809326
12,0,0
12,0.25,0
12,0.5,0
12,1,0
12,1.5,0
12,1.75,0
12,2,0
13,0,0
13,0.25,0.6572055220603943
13,0.5,0.89634770154953
13,1,0.9363424181938171
13,1.5,1.5234076976776123
13,1.75,1.827207088470459
13,2,1.897208333015442
14,0,0
14,0.25,0
14,0.5,0
14,1,0
14,1.5,0
14,1.75,0
14,2,0
15,0,0
15,0.25,0
15,0.5,0
15,1,0
15,1.5,0.35153019428253174
15,1.75,0.6316066980361938
15,2,0.7115856409072876
16,0,0
16,0.25,0
16,0.5,1.5719294548034668
16,1,0.8421964049339294
16,1.5,1.7919310331344604
16,1.75,2.0819246768951416
16,2,1.6340852975845337
17,0,0
17,0.25,0
17,0.5,0
17,1,0
17,1.5,0.416015088558197
17,1.75,1.0841120481491089
17,2,1.4159959554672241
18,0,0
18,0.25,0
18,0.5,0
18,1,0
18,1.5,0.4614025354385376
18,1.75,0.5979124903678894
18,2,0.5079085230827332
19,0,0
19,0.25,0
19,0.5,0
19,1,0
19,1.5,0
19,1.75,0
19,2,0
20,0,0
20,0.25,0
20,0.5,0.18040648102760315
20,1,0.4504314064979553
20,1.5,3.264308452606201
20,1.75,1.8434011936187744
20,2,2.6404154300689697
21,0,0
21,0.25,0
21,0.5,0
21,1,0
21,1.5,0.640385091304779
21,1.75,1.02921724319458
21,2,1.8810856342315674
22,0,0
22,0.25,0
22,0.5,0
22,1,0
22,1.5,0
22,1.75,0
22,2,0.19237881898880005
23,0,0
23,0.25,0
23,0.5,0.39638590812683105
23,1,0.22374355792999268
23,1.5,2.2262532711029053
23,1.75,2.2615320682525635
23,2,1.9633350372314453
24,0,0
24,0.25,0.08268208056688309
24,0.5,0.6274144649505615
24,1,0.5680412650108337
24,1.5,1.4882797002792358
24,1.75,1.8273437023162842
24,2,2.027836561203003
25,0,0
25,0.25,0
25,0.5,0.5819388031959534
25,1,0.8712013959884644
25,1.5,3.230323314666748
25,1.75,3.1404716968536377
25,2,3.1319832801818848
26,0,0
26,0.25,0
