SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,annual_rental_income,monthly_rental_income,rentalval,rentalval_note,elevation,distance_to_coast_meters,distance_to_coast_km,median_ageE,whiteE,blackE,asianE,hispanicE,median_incomeE,educationE,unemploymentE,hazard_type,property_id
PAST SALE,NA,Single Family Residential,257 Seadrift Rd,Stinson Beach,CA,94970,2052267,2,2,NA,1557,7500,2013,NA,446,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/257-Seadrift-Rd-94970/home/22390985,NA,NA,Y,Y,37.9074179,-122.6681132,"257 Seadrift Rd, Stinson Beach, CA",102613.35,8551.112500000001,8551.112500000001,baseline_5pct,3.48,273.9363931309452,0.2739363931309452,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,255 Seadrift Rd,Stinson Beach,CA,94970,1698559,2,2,NA,1700,7500,1989,NA,291,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/255-Seadrift-Rd-94970/home/746431,NA,NA,Y,Y,37.9073705,-122.66793,"255 Seadrift Rd, Stinson Beach, CA",84927.95000000001,7077.329166666667,7077.329166666667,baseline_5pct,3.49,274.58148125719197,0.27458148125719195,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,253 Seadrift Rd,Stinson Beach,CA,94970,4345492,4,4,NA,1892,7500,2019,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/253-Seadrift-Rd-94970/home/112881720,NA,NA,Y,Y,37.9073702,-122.6677103,"253 Seadrift Rd, Stinson Beach, CA",217274.6,18106.216666666667,18106.216666666667,baseline_5pct,3.67,282.8574522711489,0.2828574522711489,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,249 Seadrift Rd,Stinson Beach,CA,94970,3370626,2,2,NA,1766,7500,1997,NA,150,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/249-Seadrift-Rd-94970/home/1343475,NA,NA,Y,Y,37.9073257,-122.6673002,"249 Seadrift Rd, Stinson Beach, CA",168531.30000000002,14044.275000000001,14044.275000000001,baseline_5pct,3.46,292.4756227407471,0.2924756227407471,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,247 Seadrift Rd,Stinson Beach,CA,94970,2756513,3,2,NA,1506,7500,1963,NA,232,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/247-Seadrift-Rd-94970/home/989273,NA,NA,Y,Y,37.907313,-122.6671032,"247 Seadrift Rd, Stinson Beach, CA",137825.65,11485.470833333333,11485.470833333333,baseline_5pct,3.66,298.2471264773105,0.2982471264773105,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,January-11-2013,Single Family Residential,245 Seadrift Rd,Stinson Beach,CA,94970,3119512,3,2,Stinson Beach,1344,9017,1979,NA,927,225,Sold,NA,NA,https://www.redfin.com/CA/Stinson-Beach/245-Seadrift-Rd-94970/home/927553,BAREIS,21226682,Y,Y,37.9072836,-122.6668809,"245 Seadrift Rd, Stinson Beach, CA",155975.6,12997.966666666667,12997.966666666667,baseline_5pct,3.81,302.76045928321713,0.30276045928321715,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,243 Seadrift Rd,Stinson Beach,CA,94970,3315296,3,2,NA,2008,8500,1964,NA,212,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/243-Seadrift-Rd-94970/home/722012,NA,NA,Y,Y,37.9072627,-122.6666206,"243 Seadrift Rd, Stinson Beach, CA",165764.80000000002,13813.733333333335,13813.733333333335,baseline_5pct,3.77,309.83991368890855,0.30983991368890856,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,237 Seadrift Rd,Stinson Beach,CA,94970,4179791,3,3,NA,2327,7500,1981,NA,1375,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/237-Seadrift-Rd-94970/home/1105373,NA,NA,Y,Y,37.9071919,-122.6659363,"237 Seadrift Rd, Stinson Beach, CA",208989.55000000002,17415.795833333334,17415.795833333334,baseline_5pct,3.74,326.3471904675817,0.3263471904675817,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,June-20-2013,Single Family Residential,235 Seadrift Rd,Stinson Beach,CA,94970,3517391,2,2,Stinson Beach,2112,7501,1987,NA,734,217,Sold,NA,NA,https://www.redfin.com/CA/Stinson-Beach/235-Seadrift-Rd-94970/home/878338,BAREIS,21308910,Y,Y,37.9071851,-122.6657707,"235 Seadrift Rd, Stinson Beach, CA",175869.55000000002,14655.795833333335,14655.795833333335,baseline_5pct,3.23,331.7130118829547,0.33171301188295466,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,July-12-2018,Single Family Residential,233 Seadrift Rd,Stinson Beach,CA,94970,3861458,3,2,Stinson Beach,2213,7501,1991,NA,1390,242,Sold,NA,NA,https://www.redfin.com/CA/Stinson-Beach/233-Seadrift-Rd-94970/home/772279,BAREIS,21809140,Y,Y,37.9071585,-122.6655755,"233 Seadrift Rd, Stinson Beach, CA",193072.90000000002,16089.408333333335,16089.408333333335,baseline_5pct,3.48,335.5721095817567,0.3355721095817567,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
